,date,policy
43,"June 10, 2020"," The Governor approved a request from Mayor Derek S.K. Kawakami to safely re-open more businesses, operations or activities under guidelines that will ensure the health, safety and welfare of the people of Kauai county, effective June 16, 2020."
44,"June 10, 2020"," The Hawaii Department of Health reinstated Tuberculosis (TB) clearance requirements for childcare, school, post-secondary institutions and for food handlers. Routine TB clearance requirements had been waived temporarily through May 31 to support COVID-19 social distancing and mitigation efforts."
45,"June 24, 2020"," The Governor announced all travelers arriving in Hawaii from out-of-state will be required to get a valid COVID-19 test prior to their arrival, and to show proof of a negative test result, to avoid the 14-day quarantine. The pre-travel testing program begins Aug. 1."
46,"June 24, 2020"," The Governor approved Mayor Kirk Caldwells proposal to allow singing and/or playing of wind instruments at indoor and outdoor restaurants/bars, with some restrictions."
47,"July 6, 2020", The Governor stated that cuts to for Hawaii public employees is inevitable if the state does not receive federal coronavirus relief funding.
48,"July 7, 2020", The Governorstatedthat the state will be hit with anearly half-billion dollarloss in projected tax revenues when compared to the year $7 billion collected the year before.
49,"July 13, 2020"," The Governor announced he will delay the launch of the pre-travel testing program for incoming travelers to Hawaii. The program is now scheduled to begin on Sept. 1. This means all travelers entering the State of Hawaii will be subject to the mandatory 14-day quarantine until Sept. 1, when the pre-travel testing program is scheduled to begin."
50,"July 15, 2020", The Attorney General joined a coalition of 22 attorneys general urging the US Senate to provide robust financial support for childcare providers in the next federal stimulus bill amid the ongoing COVID-19 pandemic in a letter sent to the Senate.
51,"June 10, 2020"," The Governor approved a request from Mayor Derek S.K. Kawakami to safely re-open more businesses, operations or activities under guidelines that will ensure the health, safety and welfare of the people of Kauai county, effective June 16, 2020."
52,"June 10, 2020"," The Hawaii Department of Health reinstated Tuberculosis (TB) clearance requirements for childcare, school, post-secondary institutions and for food handlers. Routine TB clearance requirements had been waived temporarily through May 31 to support COVID-19 social distancing and mitigation efforts."
53,"July 17, 2020"," The Governor signed the 10th Emergency Proclamation, which keeps the mandatory 14-day quarantine in effect for travelers entering the State of Hawaii. Under the proclamation, travelers arriving in Hawaii will continue to undergo a mandatory screening process at the airport."
54,"July 20, 2020"," The Governor confirmed the states plans to move ahead with school reopening for students on Tuesday, Aug. 4. "
55,"July 24, 2020", The Governor announced that The State of Hawaiis mandatory 14-day quarantine rule for travelers is being modified temporarily in consideration of the impacts of Tropical Cyclone Douglas.
56,"July 29, 2020", The Governor announced he will take action to reinstate some of the measures weve relaxed over the last few weeks in the fight against COVID-19 in Hawaii.
