date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
30-Mar-20," The Governor issued Executive Order 202.13 continuing the temporary suspension and modification of laws such as extending the grace period for the payment of premiums and fees to 90 days for any life insurance holder, allowing schools to pay for child care services, and postponing all elections until at least June 1, among other things.",,,,,,,,,,,
30-Mar-20, The Governor announced a public-private partnership whereby the Department of Health will work with the statewide healthcare system to create a command center to share information between hospitals about the supplies each hospital has in stock and the supplies each hospital is ordering.,,,,,,,,,,,
30-Mar-20, The New York Department of Labor published an unemployment insurance flow chart to clearly outline how different eligible individuals can access unemployment compensation and what levels of compensation are available.,,,,,,,,,,,
30-Mar-20, The Governor publicly asked that healthcare workers from communities across the U.S. that are not facing a crisis come to New York to help alleviate the strain on their healthcare system.,,,,,,,,,,,
31-Mar-20," The Governor announced the formation of the Central Coordinating Team (the Team), a hospital network tasked with facilitating a coordinated and strategic approach to implement the statewide public-private partnership announced by the Governor on March 30. Specifically, the Team will: Organize upstate and downstate staffing Assist Elmhurst hospital and other stressed hospitals; Establish patient thresholds for hospitals; Organize patient transfers to other hospitals and the USNS Comfort; Coordinate State-City stockpiles and individual hospital stockpiles; and, Facilitate staffing recruitment. ",,,,,,,,,,,
1-Apr-20," The Governor announced that New York-based Regeneron Pharmaceuticals is manufacturing 500,000 test kits for the state at no charge. Additional private sector donations include: Regeneron is donating 25,000 kits per day; Apple donated 1.9 million masks; and Corning donated 100,000 tubes and provided an additional 500,000 tubes to the state at reduced cost and expedited delivery. ",,,,,,,,,,,
1-Apr-20, The Governor announced that New York City playgrounds will close to address the lack of compliance to social distancing protocols.,,,,,,,,,,,
1-Apr-20," The Governor announced the launch of a PSA that provide information on how to apply for unemployment benefits and reassures New Yorkers if their unemployment filing is delayed, they will still receive full unemployment benefits. Read the PSA in Spanish here.",,,,,,,,,,,
2-Apr-20," The Governor announced several updates related to the states ongoing response: The state Department of Health approved Northwells protocol allowing BiPAP machines to be converted into ventilators; The state is conducting a hospital-by-hospital survey on a nightly basis to take inventory of every states medical materials; 21,000 out-of-state individuals have volunteered to work in New Yorks hospital system on a temporary basis as part of the states surge healthcare workforce; and, Consumers and businesses experiencing financial hardship due to the pandemic may defer paying premiums under individual and small group health insurance policies. ",,,,,,,,,,,
2-Apr-20," The Governor announced and the President approved allowing the state-owned Javits Center, a 2-500 emergency medical facility being operated by the U.S. Army, to accept COVID positive patients.",,,,,,,,,,,
3-Apr-20, The Governor announced an executive order allowing the state to redistribute ventilators and personal protective equipment from institutions that dont currently need them and redeploy the equipment to other hospitals with the greatest need. ,,,,,,,,,,,
3-Apr-20," The Governor launched a website that will provide New York States comprehensive coronavirus testing data to the public, which will be updated daily with the latest data.",,,,,,,,,,,
5-Apr-20," The Governor announced the federal government is deploying approximately 1,000 personnel to New York, including doctors, nurses, respiratory technicians and therapists. ",,,,,,,,,,,
6-Apr-20," The Governor announced the following response activities the state is undertaking: Extending the NYS on Pause functions through April 29, after which the state will reevaluate if additional social distancing measures are necessary; Allowing the USNS Comfort hospital ship to be used for COVID-19 patients;Partnering with Headspace to offer free meditation and mindfulness content for all New Yorkers as a mental health resource for residents coping; Announcing that 802 ventilators have been distributed downstate through the Surge and Flex system where all hospital systems are working together as one and sharing supplies, equipment and staff; andCreating the First Responders Fund to assist health care workers and first responders with expenses and costs, including child care. ",,,,,,,,,,,
7-Apr-20," The Governor signed an executive order allowing the state to redistribute ventilators and personal protective equipment to hospitals with the highest need, and extended the NYS on Pause functions for an additional two weeks until April 29. The order also allows medical schools that are slated to graduate to begin practicing immediately to assist with the states surge health care force. ",,,,,,,,,,,
7-Apr-20, The Governor announced the state will invest in private companies to bring rapid COVID-19 testing to scale and accelerate testing capacity. ,,,,,,,,,,,
7-Apr-20, The Governor sent a letter to New Yorks Congressional Delegation outlining the states needs in the next federal relief package.,,,,,,,,,,,
7-Apr-20," The Governor announced an agreement with the largest student loan servicers in New York to secure relief for student loan borrowers, a category of individuals that are not eligible for loan relief under the CARES Act. ",,,,,,,,,,,
8-Apr-20," The Governor launched      a multi-platform, multi-language education and awareness campaign to      emphasize the states core message to stay at home and will expand      outreach and awareness to wider audiences, including hard-to-reach      communities.",,,,,,,,,,,
8-Apr-20," The Governor announced several actions as part of the      states ongoing response efforts:Partnering with SUNY Albany to increase testing in       minority communities and determine why more people in minority and       low-income communities have higher rates of infection;Directing the State Department of Labor to make $600       in additionally weekly unemployment benefits available to all New       Yorkers; Acquiring 2,400 BiPAP machines through a generous       donation by Mercury Medical; and, Partnering with Delta, JetBlue and United to offer       free travel to New York for medical workers to serve as part of the       states surge healthcare force.",,,,,,,,,,,
9-Apr-20," The Governor announced five testing facilities downstate in primarily minority communities, bringing the states total number of testing facilities to nine. ",,,,,,,,,,,
9-Apr-20," The Governor announced the New York Loves initiative to coordinate all foundations, philanthropies, non-profits, charities and other entities that want to donate resources to assist local government response efforts. ",,,,,,,,,,,
9-Apr-20," The Governor appealed to all New Yorkers who have recovered from COVID-19 to contact the state and donate blood plasma, which has antibodies against the virus and could assist with treatment development. ",,,,,,,,,,,
9-Apr-20, The Governor issued an executive order continuing the temporary suspension and modification of laws. ,,,,,,,,,,,
10-Apr-20, The Governor announced the state is ramping up antibody testing through a collaborative effort with Connecticut and New Jersey to create a regional testing partnership. ,,,,,,,,,,,
10-Apr-20," The Governor announced an additional $200 million in emergency food assistance will be available for more than 700,000 low-income households enrolled in the Supplemental Nutrition Assistance Program.",,,,,,,,,,,
10-Apr-20, The Governor announced new partnerships with the private sector to provide housing for frontline medical workers. ,,,,,,,,,,,
11-Apr-20, The Governor announced a partnership with the New York State Court System to create a pro bono network of volunteer lawyers. ,,,,,,,,,,,
11-Apr-20," The Governor issued a letter calling on the U.S. Treasury to ensure New Yorkers do not have their stimulus payments frozen by banks or seized by creditors, a practice known as garnishment.",,,,,,,,,,,
11-Apr-20, The Governor joined Maryland Governor Larry Hogan in a bipartisan effort calling for $500 billion in aid to states to offset drastic state revenue shortfalls. ,,,,,,,,,,,
12-Apr-20," The Governor returned ventilators to the Pathways Nursing Home and Rehabilitation Center in Niskayuna, who donated their machines to assist hardest hit areas in the state. ",,,,,,,,,,,
13-Apr-20," The Governor announced the formation of a regional coalition with New Jersey Governor Phil Murphy, Connecticut Governor Ned Lamont, Pennsylvania Governor Tom Wolf, Delaware Governor John Carney, Massachusetts Governor Charlie Baker, and Rhode Island Governor Gina Raimondo to develop a unified regional framework to gradually lift the states stay at home orders while minimizing the risk of increased spread of the virus. ",,,,,,,,,,,
15-Apr-20," The Governor announced the state will begin conducting antibody tests using a finger prick method to test up to 2,000 New Yorkers per day, beginning this week with frontline health care workers and other essential workers. ",,,,,,,,,,,
15-Apr-20, The Governor announced the state will provide 100 ventilators to Michigan and 50 ventilators to Maryland. ,,,,,,,,,,,
15-Apr-20," The Governor issued an executive order requiring all people in New York to wear a mask or a face covering when in public and in situations where social distancing cannot be maintained, such as on public transportation. ",,,,,,,,,,,
15-Apr-20," The Governor announced that the State University of New York and The City University of New York are using 3D printers to produce critical personal protective equipment, such as face shields, for New Yorks frontline workers. ",,,,,,,,,,,
16-Apr-20," The Governor announced all NYS on Pause restrictions and closures will be extended until May 15, after which the states will re-evaluate additional closure periods. ",,,,,,,,,,,
16-Apr-20," The Governor announced the state will provide 100 ventilators to New Jersey, building on previous interstate sharing of medical resources with Michigan and Maryland. ",,,,,,,,,,,
16-Apr-20," The Governor outlined a blueprint to unpause New York, getting people back to work and easing social distancing policies without triggering renewed spread of the virus. The plan lays out four key steps: First  continue control the rate of infection and embracing the do no harm principle; Second  continuing the surge and flex strategy to ensure anyone who needs medical attention gets it, while continuing to share resources amongst states and localities; Third  ramping up a massive testing and contact tracing operation; and, Fourth  phasing into a new normal. ",,,,,,,,,,,
16-Apr-20," The Governor issued an executive order that, among other things, allows health professionals in good standing in any province or territory of Canada to practice in New York without civil or criminal penalty related to lack of licensure.",,,,,,,,,,,
17-Apr-20, The Governor launched an awareness campaign encouraging low-income New Yorkers to claim their Economic Impact Payments under the CARES Act. ,,,,,,,,,,,
17-Apr-20," The Governor issued an executive order directing the Department of Health to establish a single, statewide coordinated testing prioritization process that requires all laboratories in the state (public and private) to complete COVID-19 diagnostic testing in accordance with such process. ",,,,,,,,,,,
17-Apr-20," The Governor, together with the nations governors, called on Congress to allocate $500 billion in unrestricted to aid to shore up budget shortfalls. ",,,,,,,,,,,
18-Apr-20, The Governor called for federal coordination of the supply chain to bring testing to scale so states can satisfy the necessary preconditions to begin reopening. ,,,,,,,,,,,
18-Apr-20, The Governor issued an executive order allowing any town or city clerk to officiate a wedding via teleconference. ,,,,,,,,,,,
18-Apr-20," The Governor, together with New Jersey Governor Murphy and Connecticut Governor Lamont, announced that marinas, boatyards and marine manufacturers will be allowed open for personal use as long as strict social distancing and sanitization protocols are followed. ",,,,,,,,,,,
19-Apr-20," The Governor announced the state will begin an antibody testing survey that will sample 3,000 individuals to help determine the percentage of the population that is now immune to the virus, allowing more individuals to safely return to work. ",,,,,,,,,,,
19-Apr-20, The Governor announced the state is ready to transport 400 ventilators to Massachusetts within 24 hours if necessary. ,,,,,,,,,,,
19-Apr-20, The Governor expanded the April 18 executive order to allow any authorized officiant to perform marriage ceremonies using online video technology. ,,,,,,,,,,,
19-Apr-20,"  The Governor, along with the governors of Connecticut, New Jersey, Massachusetts, Rhode Island, Pennsylvania and Delaware, announced their appointees that will serve on the multi-state, regional council to restore the economy and get people back to work. The appointees include a health expert, an economic development expert and the respective chief of staff from each state.",,,,,,,,,,,
20-Apr-20, The New York State Department of Labor launched a one-stop-shop for unemployment benefits that will connect New Yorkers with benefits through a streamlined application.,,,,,,,,,,,
20-Apr-20," The Governor launched a partnership with Ready Responders to bring health care services, including diagnostic testing, to residents of public housing in New York City. ",,,,,,,,,,,
20-Apr-20," The Governor announced the state will deliver 500,000 cloth masks and 10,000 gallons of hand sanitizer to public housing communities. ",,,,,,,,,,,
20-Apr-20," The Governor created the Reimagine NY Task Force, intended to improve systems in downstate New York once the state is no longer on pause. ",,,,,,,,,,,
20-Apr-20," The Governor announced the State University of New York will distribute more than 8,000 laptops and Chromebooks to students in need who are currently completing their spring semester coursework online. ",,,,,,,,,,,
20-Apr-20," The Secretary to the Governor, Melissa DeRosa, and the New York State Council on Women and Girls created a COVID-19 maternity task force to examine the best approach to authorizing and certifying additional birthing centers to provide mothers a safe alternative for low-risk pregnancies. Additionally, the task force will review literature and make recommendations on the impact of COVID-19 on pregnancy. ",,,,,,,,,,,
21-Apr-20, The Governor announced hospitals will be able to resume elective outpatient treatments on April 28th if the hospital capacity is over 25 percent for the county and if there have been fewer than 10 new hospitalizations of COVID-19 patients in the county over the past 10 days. ,,,,,,,,,,,
21-Apr-20, The Governor announced the state will take a regional approach to reopening and will make decisions on which counties and regions to open and when to open them based on the facts and the data specific to that area. ,,,,,,,,,,,
22-Apr-20, The Governor announced a partnership with Vital Strategies to launch a contact tracing program in coordination with the downstate region as well as New Jersey and Connecticut. ,,,,,,,,,,,
22-Apr-20," The Governor announced that the New York State Department of Financial Services will direct insurers to provide cash flow relief to, and ease administrative burdens on, New York State hospitals in response to COVID-19. Relief includes immediate payment of outstanding accounts receivables, suspension of preauthorization requirements for all hospital services, and prohibition of the retrospective review of claims. ",,,,,,,,,,,
23-Apr-20, The Governor announced that the New York Department of Health is partnering with the state Attorney General to investigate nursing homes who violate Executive Orders requiring these facilities to communicate COVID-19 test results and deaths to residents families. ,,,,,,,,,,,
23-Apr-20," The Governor announced a directive requiring nursing homes to immediately report to the Department of Health (DOH) the actions they have taken to comply with all DOH and CDC laws, regulations, directives and guidance. Facilities could be fined $10,000 per violation or potentially lose their operating license. ",,,,,,,,,,,
23-Apr-20, The Governor and Attorney General launched an employment portal to increase staffing through the state and expand training and technical assistance for nursing homes to use the professional staffing portal. ,,,,,,,,,,,
23-Apr-20," The Governor announced preliminary phase one results of the states antibody testing, which found that 13.9 percent of the population have COVID-19 antibodies and are immune to the virus. ",,,,,,,,,,,
23-Apr-20, The Governor announced an initiative to ramp up testing in African-American and Latino communities by partnering with churches and places of worship in those communities as a network or possible testing sites. ,,,,,,,,,,,
23-Apr-20," The Governor announced the state will provide childcare scholarships to essential workers, such as health care providers, firefighters, and grocery store employees. ",,,,,,,,,,,
23-Apr-20," The Governor announced the CARES funding will be used to purchase supplies for statewide childcare providers who remain open, including masks, gloves, diapers, baby wipes, baby formula and food. ",,,,,,,,,,,
24-Apr-20, The Governor issued an executive order that directs the New York State Board of Elections to automatically mail every New Yorker a postage-paid application for an absentee ballot. ,,,,,,,,,,,
25-Apr-20," The Governor announced the state expanded its testing criteria to include all first responders, health care workers and essential employees to be tested even if they arent symptomatic. ",,,,,,,,,,,
26-Apr-20," The Governor outlined a phased plan to reopen the state and re-imagine a new normal for the state starting with construction and manufacturing. Based on CDC recommendations, once a region experiences a 14-day decline in the hospitalization rate they may begin a phased re-opening. ",,,,,,,,,,,
27-Apr-20," The Governor announced the results of phase two of the states antibody testing survey, which found 14.9 percent of the population have COVID-19 antibodies. ",,,,,,,,,,,
27-Apr-20," The Governor announced the state is opening five drive-through testing facilities in Monroe, Erie, Broome, Niagara and Oneida counties. ",,,,,,,,,,,
27-Apr-20, The Governor announced the state is providing $25 million from the states special public health emergency fund for food banks and providers most impacted by the pandemic. ,,,,,,,,,,,
27-Apr-20," The Governor announced the launch of Nourish New York initiative, which is intended to purchase food and products from Upstate farms and direct it to food banks across the state. ",,,,,,,,,,,
27-Apr-20, The Governor announced that two million bottles of NYS Clean hand sanitizer have been distributed across all counties in the state.,,,,,,,,,,,
27-Apr-20," FuzeHub, the statewide center for the New York Manufacturing Extension Partnership (NY MEP), announced the winners of its COVID-19 Manufacturing Grants initiative, a competitive grant program to accelerate production of ventilators and N95 respirators in New York State. FuzeHub awarded a total of $300,000 in grant funding to four New York manufacturers.",,,,,,,,,,,
28-Apr-20, The Governor outlined additional guidelines for the phased plan to re-open New York on a regional basis. ,,,,,,,,,,,
28-Apr-20, The Governor announced the creation of the New York Forward Re-Opening Advisory Board to help guide the states re-opening strategy. ,,,,,,,,,,,
29-Apr-20, The Governor announced 35 counties were approved to resume elective outpatient treatments. ,,,,,,,,,,,
29-Apr-20," The Governor announced results of the states FDNY and NYPD antibody testing survey, which found 17.1 percent of FDNY officers and EMTs have antibodies and 10.5 percent of NYPD officers have antibodies. ",,,,,,,,,,,
29-Apr-20," The Governor announced the state is partnering with BioReference to provide antibody tests to first responders and other essential workers from the MTA, State Police, DOCCS and others.",,,,,,,,,,,
29-Apr-20," The Secretary to the Governor issued a report to the Governor outlining the COVID-19 Maternity Task Forces initial recommendations, which were accepted in full. The recommendations include:Implementing measures to diversify birthing site options and support patient choice;Extending the period of time a healthy support person can accompany a mother post-delivery;Mandating testing of all pregnant New Yorkers;Ensuring equity in birthing options;Creating an educational campaign; and, Reviewing the impact of COVID-19 on pregnancy and newborns with a special emphasis on reducing racial disparities in maternal mortality. ",,,,,,,,,,,
30-Apr-20," The Governor announced the states contact tracing pilot program will begin in the coming weeks, which will include a baseline of 30 contact tracers for every 100,000 individuals and will utilize additional tracers based on the projected number of cases in each region.",,,,,,,,,,,
1-May-20, The Governor issued an executive order delaying school board elections and budget votes statewide until June 9. ,,,,,,,,,,,
4-May-20," The Governor outlined additional guidelines for when regions can re-open. The state will monitor four core factors to determine if a region can re-open:New Infections: Based on guidelines from the CDC, regions must have at least 14 days of decline in total net hospitalizations and deaths on a 3-day rolling average; Health Care Capacity: Every region must have the health care capacity to handle a potential surge in cases; Diagnostic Testing Capacity: Each region must have the capacity to conduct 30 diagnostic tests for every 1,000 residents per month; and, Contact Tracing Capacity: Regions must have a baseline of 30 contact tracers for every 100,000 residents, and additional tracers based on the projected number of cases in the region. ",,,,,,,,,,,
4-May-20," The Governor announced New Yorks National Guard has made nearly 300,000 testing kits to collect samples, 60,000 of which are being sent to labs and hospitals across New York State. ",,,,,,,,,,,
4-May-20, The Governor announced the special enrollment period through the NY State of Health Health Plan Marketplace will remain open through June 15. ,,,,,,,,,,,
5-May-20, The Governor announced a partnership with the Bill & Melinda Gates Foundation to develop a blueprint to reimagine education in the new normal. ,,,,,,,,,,,
5-May-20, The Governor extended an executive order allowing out-of-state health care professionals to practice in New York State. ,,,,,,,,,,,
6-May-20, The Governor announced that Schmidt Futures will help integrate New York State practices and systems to improve telehealth and broadband access.,,,,,,,,,,,
6-May-20, The Governor outlined the results of hospitalization data that was collected from hospitals in a targeted effort to further reduce the number of new hospitalizations per day. The state found that a majority of individuals were:Not working or traveling;Predominately located downstate;Predominately minorities and older individuals;Predominately non-essential employees; andPredominately at home.,,,,,,,,,,,
6-May-20," The Governor announced that JetBlue is donating 100,000 pairs of round-trip flights for medical personnel and nurses to honor their efforts, beginning with 10,000 pairs of tickets for New York medical professionals.",,,,,,,,,,,
7-May-20, The Governor announced the states moratorium on COVID-related residential or commercial evictions will be extended for an additional 60 days until August 20.,,,,,,,,,,,
7-May-20," The Governor announced the states $25 million Nourish New York Initiative has purchased food and products from more than 2,100 New York farms and provided support to nearly 50 food banks, soup kitchens, and food pantries.",,,,,,,,,,,
7-May-20,- The Centers for Medicare and Medicaid Services (CMS) approved New Yorks second request for a Medicaid 1135 waiver. The waiver allows New York to waive consent requirements for Home and Community-Based Services(HCBS) and to allow for HCBS in additional settings.,,,,,,,,,,,
8-May-20," The Governor announced the state will extend the window for victims to file otherwise time-barred cases under the Child Victims Act for an additional five months until January 14, 2021.",,,,,,,,,,,
8-May-20, The Governor announced the composition of New Yorks Reimagine Education Advisory Council. This Council will help districts reimagine schools as they prepare to reopen.,,,,,,,,,,,
8-May-20," The Governor announced the State Department of Health is investigating several cases of severe illness in children and child deaths that may be related to COVID-19; additionally, the State Department of Health issued an advisory about this serious inflammatory disease to inform providers of the condition, as well as to provide guidance for testing and reporting.",,,,,,,,,,,
9-May-20, The Governor launched an initiative to expand access to testing in low-income communities of color.,,,,,,,,,,,
9-May-20," The governor announced preliminary results of the states antibody testing survey of more than 1,300 transit workers in the New York City region which show 14. 2 percent have antibodies, compared to 19.9 percent of the general population in New York City.",,,,,,,,,,,
9-May-20, The Governor announced the state is helping the Centers for Disease Control and Prevention (CDC) develop the national criteria for identifying and responding to COVID-19 related illness in children.,,,,,,,,,,,
10-May-20, The Governor announced the state is notifying 49 other states across the country of emerging cases of COVID-19 related illness in children.,,,,,,,,,,,
10-May-20," The Governor announced the Department of Health and Human Services (HHS) is distributing a promising treatment called Remdesivir to treat 2,9000 people at 15 hospitals and will send more doses in the coming weeks to treat 500 more patients, including children, at additional New York Hospitals.",,,,,,,,,,,
10-May-20," The Governor issued an executive order mandating, among other things, that all nursing homes and adult care facilities test all personnel for COVID-19 two times per week and report any positive test results to the State Department of Health by the next day.",,,,,,,,,,,
11-May-20," The Governor announced the Finger Lakes, Southern Tier and Mohawk Valley Regions have met all seven-metrics required to begin phase one of the states regional phased reopening plan when the stay at home orders expire on May 15.",,,,,,,,,,,
11-May-20," The Governor announced that certain low-risk businesses and recreational activities will be ready to reopen statewide on May 15, including landscaping and gardening; outdoor, low-risk recreational activities such as tennis; and drive-in movie theaters.",,,,,,,,,,,
11-May-20," The Governor announced the members of the regional control rooms that will monitor regional metrics during the reopening process, such as hospitalization rate, death rate, number of new hospitalizations, hospital bed capacity, ICU bed capacity, testing and contact tracing within its region during reopening and alert the state if the regions metrics no longer meet the reopening guidelines and adjust the reopening plan for that region accordingly.",,,,,,,,,,,
12-May-20," The Governor, in a joint statement with Maryland Governor Hogan, called on Congress to focus the next stimulus bill on funding state and local governments, working families, state testing and tracing efforts and a real economic stimulus with no handouts to corporations who do not protect their workers.",,,,,,,,,,,
13-May-20, The Governor announced the North Country has met all seven metrics required to begin phase one of the states regional phased reopening plan on May 15.,,,,,,,,,,,
13-May-20," The Governor announced the results of the states antibody testing survey of 2,750 members of the New York State Police show 3.1 percent of the members have COVID-19 antibodies.",,,,,,,,,,,
13-May-20," The Governor announced 12 more counties are now eligible to resume elective surgeries, bringing the total number of eligible counties up to 47.",,,,,,,,,,,
14-May-20, The Governor announced Central New York has met all seven metrics required to begin phase one of the states regional phased reopening on May 15.,,,,,,,,,,,
14-May-20, The Governor announced an initial $3 million in grants are available to businesses to manufacture emergency medical supplies and equipment.,,,,,,,,,,,
14-May-20," The Governor issued an executive order that, among other things, extends the stay at home order through May 28 for regions of the state that havent met the states gating criteria.",,,,,,,,,,,
15-May-20," The Governor, together with New Jersey Governor Murphy, Connecticut Governor Lamont, and Delaware Governor Carney, announced a multi-state agreement to reopen public and private beaches with certain restrictions in place on May 22.",,,,,,,,,,,
15-May-20, The Governor announced five regions will begin reopening after successfully meeting all seven-metrics required for reopening.,,,,,,,,,,,
16-May-20, The Governor announced horse racing tracks across the state and Watkins Glen International Racetrack will be allowed to reopen without fans as of June 1.,,,,,,,,,,,
16-May-20, The Governor announced Westchester and Suffolk Counties are now eligible to resume elective surgeries and ambulatory care.,,,,,,,,,,,
