date,policy
"April 13, 2020", The Governor announced a Western States Pact with Oregon Governor Kate Brown and Washington Governor Jay Inslee to focus on reopening their economies and controlling COVID-19 into the future.
"April 14, 2020", The Governor signed an executive order that addresses the release and reentry process at the Division of Juvenile Justice (DJJ) so that eligible youth serving time at DJJ can be discharged safely and expeditiously.
"April 14, 2020", The Governor outlined six critical indicators the state will consider before modifying the stay-at-home order and other interventions.
"April 15, 2020"," The Governor issued an executive order taking the following actions: Expanding call center hours at the Employment Development Department (EDD) to better assist Californians with unemployment insurance applications; andImplementing a one-stop shop for those applying for Pandemic Unemployment Assistance, including the self-employed and independent contractors."
"April 15, 2020", The Governor announced the allocation of $75 million in statewide Disaster Relief Assistance funding to provide financial support for immigrant workers.
"April 15, 2020"," The Governor announced the release of an immigrant resource guide to provide information about COVID-19 related assistance, including public benefits, that are available to immigrant Californians."
"April 16, 2020"," The Governor issued an executive order taking the following actions allowing:The California State University system will be able to waive hearing requirements to be able to make adjustments to admissions criteria for students applying this coming fall to enter as freshmen in the fall of 2021;The California Department of Justice will develop procedures to perform name-based background checks to protect health and safety and avoid delays in processing employment for critical sectors, such as health care services and care and support for vulnerable populations; and Federal stimulus checks will flow directly to custodial parents owed back child support payments and will additionally allow for commercially licensed food trucks to be able to temporarily operate in roadside rest areas for a period of 60 days, to ensure essential infrastructure workers have access to food. "
"April 16, 2020"," The Governor issued an executive order to support California workers from large employers in the food sector industry impacted by the COVID-19 pandemic with two weeks of paid sick leave.Also providing health and safety standards to increase worker and customer protection by permitting workers at food facilities to wash their hands every 30 minutes, or as needed, to increase proper sanitation measures."
"April 17, 2020", The Governor announced the formation of a state Task Force on Business and Jobs Recovery that will work to develop actions government and businesses can take to help residents recover swiftly and safely. 
"April 17, 2020", The Governor issued an executive order allowing for temporary waivers for county child welfare agencies and probation departments to perform necessary functions using alternative processes other than face-to-face interactions.
"April 18, 2020", The Governor announced the state has reached agreement with the Motel 6 chain to make available all of its corporate-owned locations to counties with a master agreement template. 
"April 20, 2020"," The Governor announced commitments from companies, business leaders and philanthropists to provide Internet access for hundreds of thousands of households as well as laptops, Chromebooks and tablets for over 70,000 students."
"April 20, 2020", The California Public Utilities Commission announced $30 million in funding to help school districts ensure that families have Internet access and computing devices for distance learning.
"April 20, 2020", The California State Transportation Agency announced a partnership with the City of Sacramento to convert and deploy seven transit buses to be used as super hotspots for enhanced Internet connectivity.
"April 21, 2020", The Governor announced California Volunteers #CaliforniansForAll service initiative to connect Californians with safe volunteer opportunities and encourage those unable to physically volunteer to think creatively about ways to make a difference in their communities.
"April 22, 2020"," The Governor announced plans to allow hospitals and health systems to resume delayed medical care such as heart valve replacements, angioplasty and tumor removals, and key preventive care services, such as colonoscopies."
"April 23, 2020"," The Governor issued an executive order modifying previous orders, including the granting of a 60-day extension for customers on several Department of Motor Vehicles deadlines, including those for recently expired drivers licenses and identification cards, to reflect public compliance with the COVID-19 stay-at-home order."
"April 23, 2020", The Governor issued an executive order offering flexibility to the California Department of Health Care Services (DHCS) and Medi-Cal providers on a variety of deadlines and requirements to ensure continuity of service to patients and customers.
"April 23, 2020"," The Governor issued an executive order requiring local education agencies, including school districts, to publish a written report to their communities explaining how they have responded to COVID-19, including steps taken to deliver distance learning and meet the needs of disadvantaged students."
"April 23, 2020"," The Governor announced that most private student loan servicers have agreed to provide payment and other relief to borrowers, including more than 1.1 million Californians with privately held student loans. "
"April 23, 2020"," The Governor issued an executive order that exempts garnishment for any individuals receiving federal, state or local government financial assistance in response to the COVID-19 pandemic. "
"April 24, 2020"," The Governor announced the launch of the first-in-the nation meal delivery program, a partnership to make wellness check-in calls, and the expansion of Friendship Line California to help combat social isolation. These actions will support the approximately 1.2 million Californians over the age of 65 who live alone."
"April 29, 2020"," The Governor announced the expansion of the Farm to Family program to help meet the growing demand at California food banks and CalFresh and EBT programs, including new Pandemic-EBT, and EBT for online purchasing."
"April 30, 2020"," The Governor issued an executive order today that will allow adults to obtain marriage licenses at the discretion of their local county clerk, through videoconferencing."
"April 30, 2020", The Governor announced a new online portal to expand childcare subsidies and after-school programs for essential workers and vulnerable families.
"April 30, 2020"," The Governor ordered all beaches and state parks in Orange County to temporarily close on April 30, after violations of the states physical distancing rules."
"May 1, 2020", The Governor issued      an executive order that temporarily broadens the capability of counties to      enroll persons into the California Work Opportunity and Responsibility to      Kids (CalWORKs) program using various eligibility verification methods due      to social distancing requirements.
"May 4, 2020"," The Governor issued an executive order directing the State Public Health Officer to establish criteria to determine whether and how, in light of local conditions, local health officers may implement public health measures less restrictive than the statewide public health directives."
"May 4, 2020"," The Governor announced a partnership with the University of California, San Francisco and University of California, Los Angeles to immediately begin training workers for a landmark contact tracing program that will help contain the ongoing COVID-19 pandemic while the state looks to modify the stay at home order. "
"May 4, 2020"," The Governor announced that based on the states progress in meeting metrics tied to indicators, the state can begin to move into the early phase of Stage 2 of reopening this Friday, May 8 allowing for gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores."
"May 6, 2020", The Governor issued an executive order that creates a time-limited rebuttable presumption for accessing workers compensation benefits applicable to residents who must work outside of their homes during the stay at home order.
"May 6, 2020"," The Governor issued an executive order that waives penalties for property taxes paid after April 10 for taxpayers who demonstrate they have experienced financial hardship through May 6, 2021."
"May 6, 2020", The Governor announced a new site that will allow residents to find testing sites statewide by their zip code.
"May 7, 2020"," The Governor released updated industry guidance  including for retail, manufacturing and logistics  to begin reopening with modifications that reduce risk and establish a safer environment for workers and customers."
"May 8, 2020"," The Governor issued an executive order that extends the following critical deadlines:Certification requirements for public school project inspectors and Certified Access Specialists;State Marshal to publish lists of building materials requirements and registration renewals;Expiration dates for notaries public;Retired peace officers to temporarily be reemployed for up to a year they left the agency in good standing; andProcedural deadlines of the Department of Industrial Relations, including the deadline for workers to file wage claims with the Labor Commissioner; the deadline for employers to appeal Cal/OSHA citations; and the deadline for Workers Compensation Administrative Law Judges to issue decisions."
"May 8, 2020"," The Governor issued an executive order requiring that each countys elections officials send vote-by-mail ballots for the November 3, 2020 General Election to all registered voters."
"May 8, 2020","- The Centers for Medicare and Medicaid Services (CMS) approved Californias additional request for a Medicaid 1135 waiver. The waiver allows California to lift prior authorization requirements, waive consent requirements for Home and Community-Based Services (HCBS), and to allow for HCBS in additional settings"
"May 11, 2020", The Governor along with governors and legislative leaders from five western states requested $1 trillion in direct and flexible relief to states and local governments.
"May 12, 2020", The Governor announced that the Department of Consumer Affairs and State Board of Pharmacy will allow pharmacists to collect specimens for COVID-19 tests and order tests for consumers.
"May 12, 2020", The Governor announced the state has also created a new Medi-Nurse line available for Medi-Cal patients without a health plan (fee for service) and uninsured Californians.
"May 14, 2020", The Governor submitted his 2020-21 May Revision budget proposal to the Legislature  a balanced plan to close a budget gap of more than $54 billion brought on by the COVID-19 recession.
"May 18, 2020"," The Governor announced the easing of criteria for counties that want to reopen faster than the rest of the state. Counties must demonstrate stable hospitalization rates and low numbers of positive cases, but no longer are required to meet the criteria of no deaths in the last 14 days."
"May 19, 2020"," The Governor issued an executive order addressing a variety of issues relating to domestic violence, Cal Grant applicant requirements, Energy Commission funding deadlines, and extending claims for reimbursement by local governments."
"May 22, 2020"," The Governor announced the launch of California Connected, the states comprehensive contact tracing program and public awareness campaign."
"May 25, 2020", The Governor announced counties can now begin re-opening houses of worship and in-store shopping for retail.
"May 26, 2020", The Governor announced counties can choose to reopen hair salons and barbershops with certain modifications.
"May 29, 2020", The Governor issued an executive order extending authorization for local governments to halt evictions for renters impacted through July 28.
"May 29, 2020"," The Governor and First Partner announced a series of new initiatives to support victims of domestic violence amidst the COVID-19 pandemic, including $5 million in state funding and a new partnership to secure private fundingwith $3 million in seed funding."
"May 29, 2020"," The Governor and First Partner announced the state is partnering with the California Partnership to End Domestic Violence (CPEDV), Airbnb, and Uber to provide free accommodation and transportation to victims of domestic violence."
"June 3, 2020"," The Governor issued a proclamation declaring a statewide General Election on Tuesday, November 3, 2020, and issued an executive order to ensure that Californians can exercise their right to vote in a safe, secure, and accessible manner during the upcoming election."
"June 5, 2020"," The Governor issued an executive order that will help increase the availability of over-the-counter drugs, such as hand sanitizer, and medical devices, such as respirators, ventilators and masks."
"June 8, 2020", The Governor announced that California-based BYD North America has received certification from the National Institute for Occupational Safety and Health (NIOSH) to produce N95 respirators for the state.
"June 15, 2020", The Governor issued an executive order taking the following actions:Extending waivers temporarily broadening the capability of counties to enroll persons into the California Work Opportunity and Responsibility to Kids (CalWORKs) program; andExtending permission for commercially-licensed food trucks to operate in roadside rest areas.
"June 22, 2020", The Governor issued an executive order extends a waiver that allows retailers to temporarily pause in-store redemption of beverage containers.The order also temporarily suspends the requirement for recycling centers to hold a minimum number of hours of operation.
"June 18, 2020", The Governor issued a mandate requiring residents to wear face coverings in common and public indoor spaces and outdoors when physical distancing is not possible.
