State,Emergency_Declaration,National_Guard_State_Activation,State_Employee_Travel_Restrictions,Statewide_Limits_Gatherings,Statewide_School_Closures,Statewide_Clusre_NonEssential,Statewide_Closure_of_Some_All,Essential_Business_Designations,Statewide_Curfew_List,F1135_Waiver_Status,Extension_of_Individual_Income,Primary_Election,Domestic_Travel_Limits,Statewide_Mask_Policy,Major_Disaster_Declaration
Utah,Yes,Yes,Not Reported,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Limited operations required - restaurants, bars",No,No,No,Approved,Yes- filing and payment,Already held,Mandatory; Directive - All Travelers,Recommendation,Request Approved
Ohio,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees),Request Approved
Texas,Yes,Yes,Not Reported,N/A,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations recommended - restaurants, bars, recreational venues",Yes - Some,Yes,Local,Approved,N/A,Already held,No,Recommendation,Request Approved
Colorado,Yes,Yes,Yes,Yes - stay at home guidance for all; order for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required: bars, restaurants                    Closure required - gyms, theaters, casinos, ski resorts",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees),Request Approved
South Carolina,Yes,Yes,No,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,Recommendation; All Travelers,Recommendation,Request Approved
Oklahoma,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses in counties with reported community spread Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,"Mandatory; Executive Order - All Air Travelers Coming from CA, CT, LA, NJ, NY, WA",Recommendation,Request Approved
Tennessee,Yes,Yes,Yes,Yes - stay at home guidance,Yes - recommended through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars
Closures required - recreational venues",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Wyoming,Yes,Yes,No,Yes - stay at home guidance,Option to return to in-person instructions at discretion of local school boards/districts,"Closure required - salons, recreational facilities, theaters, ",Yes - Some,No,No,Approved,N/A,Party-run primary delayed/rescheduled,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Hawaii,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"Closure required - movie theaters, visitor attractions, and places of worship
Closure or limited operations recommended - restaurants, tour companies",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Party-run primary delayed/rescheduled,Mandatory; Sixth Supplemental Proclamations - All Air Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
North Dakota,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Limited operation required – bars, restaurants Closure required: recreational facilities and entertainment venues.",Yes - Some,No,No,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
Kentucky,Yes,Yes,Yes,Yes - stay at home guidance,Yes - recommended through end of year,"Limited operations required: restaurants, bars Closure required - entertainment, hospitality and recreational facilities, community and recreation centers, gyms and exercise facilities, hair salons, nail salons, spas, concert venues, theaters, and sporting event facilities.",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees),Request Approved
United States Virgin Islands,Yes,Yes,No,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses,Yes - Some,Yes,No,Approved,No Information,On Schedule,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Commonwealth of the Northern Mariana Islands,Yes,N/A,No,Yes - stay at home guidance,Yes - ordered through end of year,"Limited operations required - restaurants, bars, eateries",Yes - Some,No,"Yes* Saipan, Tinian and Rota Islands",Approved,Yes- filing and payment,Already held,Mandatory; Amended Executive Order - All Air Travelers ,Recommendation,Request Approved
Guam,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - hotels,Yes - Some,Yes,No,Not Requested,Yes- filing and payment,On Schedule,Mandatory; Executive Order - All Nonresident Travelers,Mandatory (for essential business employees),Request Approved
Maine,Yes,Yes,Yes,Yes - stay at home order,Yes - recommended through end of year,"In-person workforce prohibited at non-essential public facing businesses     Limited operations required - restaurants, bars",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,Mandatory; Executive Order - All Travelers,Mandatory,Request Approved
New York,Yes,Yes,No,Yes - stay at home order (certain regions) Stay at home guidance (Phase 1 regions),Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory,Request Approved
Nevada,Yes,Yes,No,Yes - stay at home guidance,Yes - ordered through end of year,"Limited operations required - restaurants Closure required- Bars, casinos",Yes - Some,Yes,Local,Approved,N/A,Primary on schedule; already held caucus,Recommendation; All Travelers,Mandatory (for essential business employees),Request Approved
Alaska,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, breweries, food trucks, self-service dining",No,Yes,No,Approved,N/A,Party-run primary delayed/rescheduled,Mandatory; Health Mandate - All Air Travelers,Recommendation,Request Approved
American Samoa,Yes,Yes,Yes,N/A,Yes -until further notice,No,No,No,No,Not Requested,No Information,Already held,No,None,Request Approved
Michigan,Yes,Yes,No,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory,Request Approved
Arkansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations required - restaurants and bars Closure required - gyms, indoor entertainment venues",Yes - Some,No,Local,Approved,Yes- filing and payment,Already held,"Recommendation; All Travelers Coming from CT, NJ, NY",Mandatory (for essential business employees and patrons while on premises),Request Approved
Mississippi,Yes,Yes,No,Yes - stay at home guidance,Yes - ordered through end of year,Limited Operations required - Restaurants,Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Missouri,Yes,Yes,No,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - casinos,No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
Montana,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Option to return to in-person instructions at discretion of local school boards/districts,"In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - fitness facilties, theaters, recreation facilities, casinos",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,Mandatory; Directive - All Travelers,Recommendation,Request Approved
Kansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses,No,Yes,No,Approved,Yes- filing and payment,On Schedule,Mandatory; Travel Related Quarantine Guidelines - All Travelers,Recommendation,Request Approved
Indiana,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, nightclubs",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Puerto Rico,Yes,Yes,No,Yes - stay at home order,Yes - ordered through end of year,Closure required - all nonessential business,Yes - Some,Yes,Yes,Approved,Yes- filing and payment,Delayed/Rescheduled,Mandatory; Executive Order - All Air Travelers,Mandatory,Request Approved
South Dakota,Yes,Yes,No,N/A,Yes - recommended through end of year,"Suggested alternate operations - restaurants, businesses with telework capacity",No,No,No,Approved,N/A,On Schedule,No,Recommendation,Request Approved
Massachusetts,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - restaurants,Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,Recommendation; All Travelers,Mandatory,Request Approved
Virginia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations  required - restaurants Closure Required - fitness centers, theaters, other recreational facilities ",Yes - Some,Yes,No,Approved,Yes- payment only,Already held,Recommendation; All Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
District of Columbia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at all non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Iowa,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Closures required - spas, salons, pools",Yes - Some,No,No,Approved,Yes- filing and payment,Primary on schedule; already held caucus,Recommendation; All Travelers,Recommendation,Request Approved
Arizona,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Limited operations recommended- restaurants in counties with confirmed cases
Closures recommended - bars, movie theaters, and gyms in counties with confirmed cases",No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
