,State,Emergency_Declaration,National_Guard_State_Activation,State_Employee_Travel_Restrictions,Statewide_Limits_Gatherings,Statewide_School_Closures,Statewide_Clusre_NonEssential,Statewide_Closure_of_Some_All,Essential_Business_Designations,Statewide_Curfew_List,F1135_Waiver_Status,Extension_of_Individual_Income,Primary_Election,Domestic_Travel_Limits,Statewide_Mask_Policy,Major_Disaster_Declaration
39,Nevada,Yes,Yes,No,Yes - stay at home guidance,Yes - ordered through end of year,"Limited operations required - restaurants Closure required- Bars, casinos",Yes - Some,Yes,Local,Approved,N/A,Primary on schedule; already held caucus,Recommendation; All Travelers,Mandatory (for essential business employees),Request Approved
40,Alaska,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, breweries, food trucks, self-service dining",No,Yes,No,Approved,N/A,Party-run primary delayed/rescheduled,Mandatory; Health Mandate - All Air Travelers,Recommendation,Request Approved
41,American Samoa,Yes,Yes,Yes,N/A,Yes - until further notice,No,No,No,No,Not Requested,No Information,Already held,No,None,Request Approved
42,Michigan,Yes,Yes,No,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory,Request Approved
43,Arkansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations required - restaurants and bars Closure required - gyms, indoor entertainment venues",Yes - Some,No,Local,Approved,Yes- filing and payment,Already held,Recommendation; All Travelers Coming from Hot Spot Areas,Mandatory (for essential business employees and patrons while on premises),Request Approved
44,Mississippi,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,Limited Operations required - Restaurants,Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
45,Missouri,Yes,Yes,No,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - casinos,No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
46,Montana,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Option to return to in-person instructions at discretion of local school boards/districts,"In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - fitness facilties, theaters, recreation facilities, casinos",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Recommendation,Request Approved
47,Kansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses,No,Yes,No,Approved,Yes- filing and payment,On Schedule,Mandatory; Travel Related Quarantine Guidelines - All Travelers,Recommendation,Request Approved
48,Indiana,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, nightclubs",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
49,Puerto Rico,Yes,Yes,No,Yes - stay at home order,Yes - ordered through end of year,Closure required - all nonessential business,Yes - Some,Yes,Yes,Approved,Yes- filing and payment,Delayed/Rescheduled,Mandatory; Executive Order - All Air Travelers,Mandatory,Request Approved
50,South Dakota,Yes,Yes,No,N/A,Yes - recommended through end of year,"Suggested alternate operations - restaurants, businesses with telework capacity",No,No,No,Approved,N/A,On Schedule,No,Recommendation,Request Approved
51,Massachusetts,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - restaurants,Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,Recommendation; All Travelers,Mandatory,Request Approved
52,Virginia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations  required - restaurants Closure Required - fitness centers, theaters, other recreational facilities ",Yes - Some,Yes,No,Approved,Yes- payment only,Already held,Recommendation; All Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
53,District of Columbia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at all non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
54,Iowa,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Closures required - spas, salons, pools",Yes - Some,No,No,Approved,Yes- filing and payment,Primary on schedule; already held caucus,Recommendation; All Travelers,Recommendation,Request Approved
55,Arizona,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Limited operations recommended- restaurants in counties with confirmed cases
Closures recommended - bars, movie theaters, and gyms in counties with confirmed cases",No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
