Date,UID,Province_State,Country_Region,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
2020-12-15,84000033,New Hampshire,US,0,0,0,0
2020-12-15,84000034,New Jersey,US,0,0,0,0
2020-12-15,84000035,New Mexico,US,0,0,0,0
2020-12-15,84000036,New York,US,0,0,0,0
2020-12-15,84000037,North Carolina,US,0,0,0,0
2020-12-15,84000038,North Dakota,US,0,0,0,0
2020-12-15,580,Northern Mariana Islands,US,0,0,0,0
2020-12-15,84000039,Ohio,US,0,0,0,0
2020-12-15,84000040,Oklahoma,US,0,0,0,0
2020-12-15,84000041,Oregon,US,0,0,0,0
2020-12-15,84000042,Pennsylvania,US,0,0,0,0
2020-12-15,630,Puerto Rico,US,0,0,0,0
2020-12-15,84000044,Rhode Island,US,0,0,0,0
2020-12-15,84000045,South Carolina,US,5,0,0,0
2020-12-15,84000046,South Dakota,US,0,0,0,0
2020-12-15,84000047,Tennessee,US,0,0,0,0
2020-12-15,84000048,Texas,US,441,0,0,0
2020-12-15,84000049,Utah,US,0,0,0,0
2020-12-15,84000050,Vermont,US,0,0,0,0
2020-12-15,84070021,Veterans Health Administration,US,0,0,0,0
2020-12-15,850,Virgin Islands,US,0,0,0,0
2020-12-15,84000051,Virginia,US,0,0,0,0
2020-12-15,84000053,Washington,US,0,0,0,0
2020-12-15,84000054,West Virginia,US,29,0,0,0
2020-12-15,84000055,Wisconsin,US,0,0,0,0
2020-12-15,84000056,Wyoming,US,0,0,0,0
2020-12-16,840,,US,12638,0,0,0
2020-12-16,84000001,Alabama,US,0,0,0,0
2020-12-16,84000002,Alaska,US,0,0,0,0
2020-12-16,16,American Samoa,US,0,0,0,0
2020-12-16,84000004,Arizona,US,0,0,0,0
2020-12-16,84000005,Arkansas,US,0,0,0,0
2020-12-16,84000006,California,US,0,0,0,0
2020-12-16,84000008,Colorado,US,0,0,0,0
2020-12-16,84000009,Connecticut,US,343,0,0,0
2020-12-16,84000010,Delaware,US,0,0,0,0
2020-12-16,84070024,Department of Defense,US,0,0,0,0
2020-12-16,84000011,District of Columbia,US,0,0,0,0
2020-12-16,84000012,Florida,US,0,0,0,0
2020-12-16,84000013,Georgia,US,0,0,0,0
2020-12-16,316,Guam,US,0,0,0,0
2020-12-16,84000015,Hawaii,US,5,0,0,0
2020-12-16,84000016,Idaho,US,0,0,0,0
2020-12-16,84000017,Illinois,US,0,0,0,0
2020-12-16,84070023,Indian Health Services,US,665,0,0,0
2020-12-16,84000018,Indiana,US,0,0,0,0
2020-12-16,84000019,Iowa,US,0,0,0,0
2020-12-16,84000020,Kansas,US,0,0,0,0
2020-12-16,84000021,Kentucky,US,38,0,0,0
2020-12-16,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-16,84000022,Louisiana,US,0,0,0,0
2020-12-16,84000023,Maine,US,0,0,0,0
2020-12-16,84000024,Maryland,US,0,0,0,0
2020-12-16,84000025,Massachusetts,US,0,0,0,0
2020-12-16,84000026,Michigan,US,0,0,0,0
2020-12-16,84000027,Minnesota,US,0,0,0,0
2020-12-16,84000028,Mississippi,US,0,0,0,0
2020-12-16,84000029,Missouri,US,0,0,0,0
2020-12-16,84000030,Montana,US,0,0,0,0
2020-12-16,84000031,Nebraska,US,0,0,0,0
2020-12-16,84000032,Nevada,US,0,0,0,0
2020-12-16,84000033,New Hampshire,US,108,0,0,0
2020-12-16,84000034,New Jersey,US,0,0,0,0
2020-12-16,84000035,New Mexico,US,0,0,0,0
2020-12-16,84000036,New York,US,147,0,0,0
2020-12-16,84000037,North Carolina,US,27,0,0,0
2020-12-16,84000038,North Dakota,US,282,0,0,0
2020-12-16,580,Northern Mariana Islands,US,0,0,0,0
2020-12-16,84000039,Ohio,US,0,0,0,0
2020-12-16,84000040,Oklahoma,US,0,0,0,0
2020-12-16,84000041,Oregon,US,0,0,0,0
2020-12-16,84000042,Pennsylvania,US,0,0,0,0
2020-12-16,630,Puerto Rico,US,0,0,0,0
2020-12-16,84000044,Rhode Island,US,0,0,0,0
2020-12-16,84000045,South Carolina,US,153,0,0,0
2020-12-16,84000046,South Dakota,US,0,0,0,0
2020-12-16,84000047,Tennessee,US,0,0,0,0
2020-12-16,84000048,Texas,US,7816,0,0,0
2020-12-16,84000049,Utah,US,0,0,0,0
2020-12-16,84000050,Vermont,US,0,0,0,0
2020-12-16,84070021,Veterans Health Administration,US,0,0,0,0
2020-12-16,850,Virgin Islands,US,0,0,0,0
2020-12-16,84000051,Virginia,US,10,0,0,0
2020-12-16,84000053,Washington,US,0,0,0,0
2020-12-16,84000054,West Virginia,US,3034,0,0,0
2020-12-16,84000055,Wisconsin,US,10,0,0,0
2020-12-16,84000056,Wyoming,US,0,0,0,0
2020-12-17,840,,US,51634,0,0,0
2020-12-17,84000001,Alabama,US,0,0,0,0
2020-12-17,84000002,Alaska,US,0,0,0,0
2020-12-17,16,American Samoa,US,0,0,0,0
2020-12-17,84000004,Arizona,US,0,0,0,0
2020-12-17,84000005,Arkansas,US,4,0,0,0
2020-12-17,84000006,California,US,4,0,0,0
2020-12-17,84000008,Colorado,US,183,0,0,0
2020-12-17,84000009,Connecticut,US,1191,0,0,0
2020-12-17,84000010,Delaware,US,0,0,0,0
2020-12-17,84070024,Department of Defense,US,0,0,0,0
2020-12-17,84000011,District of Columbia,US,0,0,0,0
2020-12-17,84070014,Federal Bureau of Prisons,US,546,0,0,0
2020-12-17,84000012,Florida,US,29,0,0,0
2020-12-17,84000013,Georgia,US,0,0,0,0
2020-12-17,316,Guam,US,0,0,0,0
2020-12-17,84000015,Hawaii,US,330,0,0,0
2020-12-17,84000016,Idaho,US,0,0,0,0
2020-12-17,84000017,Illinois,US,0,0,0,0
2020-12-17,84070023,Indian Health Services,US,3193,0,0,0
2020-12-17,84000018,Indiana,US,0,0,0,0
2020-12-17,84000019,Iowa,US,399,0,0,0
2020-12-17,84000020,Kansas,US,19,0,0,0
2020-12-17,84000021,Kentucky,US,273,0,0,0
2020-12-17,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-17,84000022,Louisiana,US,0,0,0,0
2020-12-17,84000023,Maine,US,0,0,0,0
2020-12-17,84000024,Maryland,US,0,0,0,0
2020-12-17,84000025,Massachusetts,US,0,0,0,0
2020-12-17,84000026,Michigan,US,5,0,0,0
2020-12-17,84000027,Minnesota,US,0,0,0,0
2020-12-17,84000028,Mississippi,US,5,0,0,0
2020-12-17,84000029,Missouri,US,886,0,0,0
2020-12-17,84000030,Montana,US,444,0,0,0
2020-12-17,84000031,Nebraska,US,0,0,0,0
2020-12-17,84000032,Nevada,US,173,0,0,0
2020-12-17,84000033,New Hampshire,US,934,0,0,0
2020-12-17,84000034,New Jersey,US,242,0,0,0
2020-12-17,84000035,New Mexico,US,122,0,0,0
2020-12-17,84000036,New York,US,2363,0,0,0
2020-12-17,84000037,North Carolina,US,101,0,0,0
2020-12-17,84000038,North Dakota,US,282,0,0,0
2020-12-17,580,Northern Mariana Islands,US,0,0,0,0
2020-12-17,84000039,Ohio,US,0,0,0,0
2020-12-17,84000040,Oklahoma,US,5,0,0,0
2020-12-17,84000041,Oregon,US,0,0,0,0
2020-12-17,84000042,Pennsylvania,US,0,0,0,0
2020-12-17,630,Puerto Rico,US,0,0,0,0
2020-12-17,84000044,Rhode Island,US,104,0,0,0
2020-12-17,84000045,South Carolina,US,2576,0,0,0
2020-12-17,84000046,South Dakota,US,5,0,0,0
2020-12-17,84000047,Tennessee,US,0,0,0,0
2020-12-17,84000048,Texas,US,29970,0,0,0
2020-12-17,84000049,Utah,US,0,0,0,0
2020-12-17,84000050,Vermont,US,20,0,0,0
2020-12-17,84070021,Veterans Health Administration,US,62,0,0,0
2020-12-17,850,Virgin Islands,US,9,0,0,0
2020-12-17,84000051,Virginia,US,271,0,0,0
2020-12-17,84000053,Washington,US,0,0,0,0
2020-12-17,84000054,West Virginia,US,6692,0,0,0
2020-12-17,84000055,Wisconsin,US,192,0,0,0
2020-12-17,84000056,Wyoming,US,0,0,0,0
2020-12-18,840,,US,127342,0,0,0
2020-12-18,84000001,Alabama,US,193,0,0,0
2020-12-18,84000002,Alaska,US,2,0,0,0
2020-12-18,16,American Samoa,US,0,0,0,0
2020-12-18,84000004,Arizona,US,3,0,0,0
2020-12-18,84000005,Arkansas,US,4,0,0,0
2020-12-18,84000006,California,US,273,0,0,0
2020-12-18,84000008,Colorado,US,351,0,0,0
2020-12-18,84000009,Connecticut,US,2790,0,0,0
2020-12-18,84000010,Delaware,US,0,0,0,0
2020-12-18,84070024,Department of Defense,US,0,0,0,0
2020-12-18,84000011,District of Columbia,US,0,0,0,0
2020-12-18,84070014,Federal Bureau of Prisons,US,897,0,0,0
2020-12-18,84000012,Florida,US,2540,0,0,0
2020-12-18,84000013,Georgia,US,0,0,0,0
2020-12-18,316,Guam,US,0,0,0,0
2020-12-18,84000015,Hawaii,US,1853,0,0,0
2020-12-18,84000016,Idaho,US,0,0,0,0
2020-12-18,84000017,Illinois,US,0,0,0,0
2020-12-18,84070023,Indian Health Services,US,7060,0,0,0
2020-12-18,84000018,Indiana,US,686,0,0,0
2020-12-18,84000019,Iowa,US,1693,0,0,0
2020-12-18,84000020,Kansas,US,187,0,0,0
2020-12-18,84000021,Kentucky,US,1504,0,0,0
2020-12-18,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-18,84000022,Louisiana,US,0,0,0,0
2020-12-18,84000023,Maine,US,3,0,0,0
2020-12-18,84000024,Maryland,US,3,0,0,0
2020-12-18,84000025,Massachusetts,US,69,0,0,0
2020-12-18,84000026,Michigan,US,244,0,0,0
2020-12-18,84000027,Minnesota,US,0,0,0,0
2020-12-18,84000028,Mississippi,US,74,0,0,0
2020-12-18,84000029,Missouri,US,2423,0,0,0
2020-12-18,84000030,Montana,US,1131,0,0,0
2020-12-18,84000031,Nebraska,US,1285,0,0,0
2020-12-18,84000032,Nevada,US,694,0,0,0
2020-12-18,84000033,New Hampshire,US,1990,0,0,0
2020-12-18,84000034,New Jersey,US,720,0,0,0
2020-12-18,84000035,New Mexico,US,309,0,0,0
2020-12-18,84000036,New York,US,8514,0,0,0
2020-12-18,84000037,North Carolina,US,661,0,0,0
2020-12-18,84000038,North Dakota,US,897,0,0,0
2020-12-18,580,Northern Mariana Islands,US,0,0,0,0
2020-12-18,84000039,Ohio,US,511,0,0,0
2020-12-18,84000040,Oklahoma,US,2257,0,0,0
2020-12-18,84000041,Oregon,US,198,0,0,0
2020-12-18,84000042,Pennsylvania,US,1681,0,0,0
2020-12-18,630,Puerto Rico,US,2129,0,0,0
2020-12-18,84000044,Rhode Island,US,112,0,0,0
2020-12-18,84000045,South Carolina,US,6831,0,0,0
2020-12-18,84000046,South Dakota,US,410,0,0,0
2020-12-18,84000047,Tennessee,US,0,0,0,0
2020-12-18,84000048,Texas,US,58150,0,0,0
2020-12-18,84000049,Utah,US,81,0,0,0
2020-12-18,84000050,Vermont,US,77,0,0,0
2020-12-18,84070021,Veterans Health Administration,US,3775,0,0,0
2020-12-18,850,Virgin Islands,US,22,0,0,0
2020-12-18,84000051,Virginia,US,271,0,0,0
2020-12-18,84000053,Washington,US,10,0,0,0
2020-12-18,84000054,West Virginia,US,10436,0,0,0
2020-12-18,84000055,Wisconsin,US,1002,0,0,0
2020-12-18,84000056,Wyoming,US,336,0,0,0
2020-12-19,840,,US,254142,0,0,0
2020-12-19,84000001,Alabama,US,1647,0,0,0
2020-12-19,84000002,Alaska,US,2,0,0,0
2020-12-19,16,American Samoa,US,0,0,0,0
2020-12-19,84000004,Arizona,US,3,0,0,0
2020-12-19,84000005,Arkansas,US,1514,0,0,0
2020-12-19,84000006,California,US,273,0,0,0
2020-12-19,84000008,Colorado,US,3404,0,0,0
2020-12-19,84000009,Connecticut,US,5223,0,0,0
2020-12-19,84000010,Delaware,US,1,0,0,0
2020-12-19,84070024,Department of Defense,US,8229,0,0,0
2020-12-19,84000011,District of Columbia,US,0,0,0,0
2020-12-19,84070014,Federal Bureau of Prisons,US,1358,0,0,0
2020-12-19,84000012,Florida,US,10133,0,0,0
2020-12-19,84000013,Georgia,US,198,0,0,0
2020-12-19,316,Guam,US,0,0,0,0
2020-12-19,84000015,Hawaii,US,2996,0,0,0
2020-12-19,84000016,Idaho,US,0,0,0,0
2020-12-19,84000017,Illinois,US,2076,0,0,0
2020-12-19,84070023,Indian Health Services,US,10862,0,0,0
2020-12-19,84000018,Indiana,US,2778,0,0,0
2020-12-19,84000019,Iowa,US,1693,0,0,0
2020-12-19,84000020,Kansas,US,341,0,0,0
2020-12-19,84000021,Kentucky,US,3377,0,0,0
2020-12-19,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-19,84000022,Louisiana,US,0,0,0,0
2020-12-19,84000023,Maine,US,997,0,0,0
2020-12-19,84000024,Maryland,US,521,0,0,0
2020-12-19,84000025,Massachusetts,US,2261,0,0,0
2020-12-19,84000026,Michigan,US,1076,0,0,0
2020-12-19,84000027,Minnesota,US,215,0,0,0
2020-12-19,84000028,Mississippi,US,511,0,0,0
2020-12-19,84000029,Missouri,US,5506,0,0,0
2020-12-19,84000030,Montana,US,1131,0,0,0
2020-12-19,84000031,Nebraska,US,3454,0,0,0
2020-12-19,84000032,Nevada,US,1889,0,0,0
2020-12-19,84000033,New Hampshire,US,3071,0,0,0
2020-12-19,84000034,New Jersey,US,1818,0,0,0
2020-12-19,84000035,New Mexico,US,1277,0,0,0
2020-12-19,84000036,New York,US,16887,0,0,0
2020-12-19,84000037,North Carolina,US,2788,0,0,0
2020-12-19,84000038,North Dakota,US,1933,0,0,0
2020-12-19,580,Northern Mariana Islands,US,0,0,0,0
2020-12-19,84000039,Ohio,US,1776,0,0,0
2020-12-19,84000040,Oklahoma,US,7324,0,0,0
2020-12-19,84000041,Oregon,US,198,0,0,0
2020-12-19,84000042,Pennsylvania,US,3580,0,0,0
2020-12-19,630,Puerto Rico,US,2129,0,0,0
2020-12-19,84000044,Rhode Island,US,519,0,0,0
2020-12-19,84000045,South Carolina,US,12171,0,0,0
2020-12-19,84000046,South Dakota,US,1515,0,0,0
2020-12-19,84000047,Tennessee,US,0,0,0,0
2020-12-19,84000048,Texas,US,100040,0,0,0
2020-12-19,84000049,Utah,US,81,0,0,0
2020-12-19,84000050,Vermont,US,182,0,0,0
2020-12-19,84070021,Veterans Health Administration,US,3775,0,0,0
2020-12-19,850,Virgin Islands,US,107,0,0,0
2020-12-19,84000051,Virginia,US,271,0,0,0
2020-12-19,84000053,Washington,US,1159,0,0,0
2020-12-19,84000054,West Virginia,US,14257,0,0,0
2020-12-19,84000055,Wisconsin,US,3279,0,0,0
2020-12-19,84000056,Wyoming,US,336,0,0,0
2020-12-20,840,,US,441650,0,0,0
2020-12-20,84000001,Alabama,US,3152,0,0,0
2020-12-20,84000002,Alaska,US,1607,0,0,0
2020-12-20,16,American Samoa,US,0,0,0,0
2020-12-20,84000004,Arizona,US,1534,0,0,0
2020-12-20,84000005,Arkansas,US,7817,0,0,0
2020-12-20,84000006,California,US,11413,0,0,0
2020-12-20,84000008,Colorado,US,12123,0,0,0
2020-12-20,84000009,Connecticut,US,7233,0,0,0
2020-12-20,84000010,Delaware,US,399,0,0,0
2020-12-20,84070024,Department of Defense,US,8229,0,0,0
2020-12-20,84000011,District of Columbia,US,0,0,0,0
2020-12-20,84070014,Federal Bureau of Prisons,US,1585,0,0,0
2020-12-20,84000012,Florida,US,19634,0,0,0
2020-12-20,84000013,Georgia,US,1109,0,0,0
2020-12-20,316,Guam,US,0,0,0,0
2020-12-20,84000015,Hawaii,US,3398,0,0,0
2020-12-20,84000016,Idaho,US,0,0,0,0
2020-12-20,84000017,Illinois,US,36123,0,0,0
2020-12-20,84070023,Indian Health Services,US,11423,0,0,0
2020-12-20,84000018,Indiana,US,4892,0,0,0
2020-12-20,84000019,Iowa,US,6017,0,0,0
2020-12-20,84000020,Kansas,US,2119,0,0,0
2020-12-20,84000021,Kentucky,US,5798,0,0,0
2020-12-20,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-20,84000022,Louisiana,US,0,0,0,0
2020-12-20,84000023,Maine,US,2262,0,0,0
2020-12-20,84000024,Maryland,US,521,0,0,0
2020-12-20,84000025,Massachusetts,US,6995,0,0,0
2020-12-20,84000026,Michigan,US,2683,0,0,0
2020-12-20,84000027,Minnesota,US,776,0,0,0
2020-12-20,84000028,Mississippi,US,1497,0,0,0
2020-12-20,84000029,Missouri,US,12271,0,0,0
2020-12-20,84000030,Montana,US,3015,0,0,0
2020-12-20,84000031,Nebraska,US,5758,0,0,0
2020-12-20,84000032,Nevada,US,4756,0,0,0
2020-12-20,84000033,New Hampshire,US,3189,0,0,0
2020-12-20,84000034,New Jersey,US,5352,0,0,0
2020-12-20,84000035,New Mexico,US,3813,0,0,0
2020-12-20,84000036,New York,US,23063,0,0,0
2020-12-20,84000037,North Carolina,US,8784,0,0,0
2020-12-20,84000038,North Dakota,US,3413,0,0,0
2020-12-20,580,Northern Mariana Islands,US,0,0,0,0
2020-12-20,84000039,Ohio,US,4536,0,0,0
2020-12-20,84000040,Oklahoma,US,7324,0,0,0
2020-12-20,84000041,Oregon,US,685,0,0,0
2020-12-20,84000042,Pennsylvania,US,15119,0,0,0
2020-12-20,630,Puerto Rico,US,5791,0,0,0
2020-12-20,84000044,Rhode Island,US,1054,0,0,0
2020-12-20,84000045,South Carolina,US,14446,0,0,0
2020-12-20,84000046,South Dakota,US,3427,0,0,0
2020-12-20,84000047,Tennessee,US,339,0,0,0
2020-12-20,84000048,Texas,US,119518,0,0,0
2020-12-20,84000049,Utah,US,1704,0,0,0
2020-12-20,84000050,Vermont,US,1235,0,0,0
2020-12-20,84070021,Veterans Health Administration,US,9593,0,0,0
2020-12-20,850,Virgin Islands,US,113,0,0,0
2020-12-20,84000051,Virginia,US,271,0,0,0
2020-12-20,84000053,Washington,US,3327,0,0,0
2020-12-20,84000054,West Virginia,US,15254,0,0,0
2020-12-20,84000055,Wisconsin,US,3279,0,0,0
2020-12-20,84000056,Wyoming,US,882,0,0,0
2020-12-21,840,,US,651503,0,0,0
2020-12-21,84000001,Alabama,US,5767,0,0,0
2020-12-21,84000002,Alaska,US,4239,0,0,0
2020-12-21,16,American Samoa,US,0,0,0,0
2020-12-21,84000004,Arizona,US,4331,0,0,0
2020-12-21,84000005,Arkansas,US,7817,0,0,0
2020-12-21,84000006,California,US,43898,0,0,0
2020-12-21,84000008,Colorado,US,22549,0,0,0
2020-12-21,84000009,Connecticut,US,7233,0,0,0
2020-12-21,84000010,Delaware,US,870,0,0,0
2020-12-21,84070024,Department of Defense,US,14651,0,0,0
2020-12-21,84000011,District of Columbia,US,0,0,0,0
2020-12-21,84070014,Federal Bureau of Prisons,US,2059,0,0,0
2020-12-21,84000012,Florida,US,32766,0,0,0
2020-12-21,84000013,Georgia,US,1109,0,0,0
2020-12-21,316,Guam,US,0,0,0,0
2020-12-21,84000015,Hawaii,US,3529,0,0,0
2020-12-21,84000016,Idaho,US,0,0,0,0
2020-12-21,84000017,Illinois,US,50034,0,0,0
2020-12-21,84070023,Indian Health Services,US,11805,0,0,0
2020-12-21,84000018,Indiana,US,12998,0,0,0
2020-12-21,84000019,Iowa,US,6940,0,0,0
2020-12-21,84000020,Kansas,US,4446,0,0,0
2020-12-21,84000021,Kentucky,US,5798,0,0,0
2020-12-21,84070022,Long Term Care (LTC) Program,US,657,0,0,0
2020-12-21,84000022,Louisiana,US,0,0,0,0
2020-12-21,84000023,Maine,US,4034,0,0,0
2020-12-21,84000024,Maryland,US,3838,0,0,0
2020-12-21,84000025,Massachusetts,US,19078,0,0,0
2020-12-21,84000026,Michigan,US,5531,0,0,0
2020-12-21,84000027,Minnesota,US,2866,0,0,0
2020-12-21,84000028,Mississippi,US,2697,0,0,0
2020-12-21,84000029,Missouri,US,12271,0,0,0
2020-12-21,84000030,Montana,US,5258,0,0,0
2020-12-21,84000031,Nebraska,US,8375,0,0,0
2020-12-21,84000032,Nevada,US,7584,0,0,0
2020-12-21,84000033,New Hampshire,US,3493,0,0,0
2020-12-21,84000034,New Jersey,US,7876,0,0,0
2020-12-21,84000035,New Mexico,US,7885,0,0,0
2020-12-21,84000036,New York,US,34832,0,0,0
2020-12-21,84000037,North Carolina,US,9065,0,0,0
2020-12-21,84000038,North Dakota,US,5052,0,0,0
2020-12-21,580,Northern Mariana Islands,US,99,0,0,0
2020-12-21,84000039,Ohio,US,4536,0,0,0
2020-12-21,84000040,Oklahoma,US,14780,0,0,0
2020-12-21,84000041,Oregon,US,2037,0,0,0
2020-12-21,84000042,Pennsylvania,US,21928,0,0,0
2020-12-21,630,Puerto Rico,US,9502,0,0,0
2020-12-21,84000044,Rhode Island,US,2211,0,0,0
2020-12-21,84000045,South Carolina,US,16170,0,0,0
2020-12-21,84000046,South Dakota,US,7463,0,0,0
2020-12-21,84000047,Tennessee,US,4786,0,0,0
2020-12-21,84000048,Texas,US,129900,0,0,0
2020-12-21,84000049,Utah,US,4057,0,0,0
2020-12-21,84000050,Vermont,US,2039,0,0,0
2020-12-21,84070021,Veterans Health Administration,US,17132,0,0,0
2020-12-21,850,Virgin Islands,US,113,0,0,0
2020-12-21,84000051,Virginia,US,271,0,0,0
2020-12-21,84000053,Washington,US,7807,0,0,0
2020-12-21,84000054,West Virginia,US,15459,0,0,0
2020-12-21,84000055,Wisconsin,US,7084,0,0,0
2020-12-21,84000056,Wyoming,US,1555,0,0,0
2020-12-22,840,,US,801460,0,0,0
2020-12-22,84000001,Alabama,US,6452,0,0,0
2020-12-22,84000002,Alaska,US,5125,0,0,0
2020-12-22,16,American Samoa,US,0,0,0,0
2020-12-22,84000004,Arizona,US,6778,0,0,0
2020-12-22,84000005,Arkansas,US,9947,0,0,0
2020-12-22,84000006,California,US,70216,0,0,0
2020-12-22,84000008,Colorado,US,30945,0,0,0
2020-12-22,84000009,Connecticut,US,9230,0,0,0
2020-12-22,84000010,Delaware,US,969,0,0,0
2020-12-22,84070024,Department of Defense,US,15645,0,0,0
2020-12-22,84000011,District of Columbia,US,2825,0,0,0
2020-12-22,84070014,Federal Bureau of Prisons,US,2312,0,0,0
2020-12-22,84000012,Florida,US,40139,0,0,0
2020-12-22,84000013,Georgia,US,1109,0,0,0
2020-12-22,316,Guam,US,0,0,0,0
2020-12-22,84000015,Hawaii,US,4456,0,0,0
2020-12-22,84000016,Idaho,US,0,0,0,0
2020-12-22,84000017,Illinois,US,57604,0,0,0
2020-12-22,84070023,Indian Health Services,US,13077,0,0,0
2020-12-22,84000018,Indiana,US,12998,0,0,0
2020-12-22,84000019,Iowa,US,7031,0,0,0
2020-12-22,84000020,Kansas,US,4573,0,0,0
2020-12-22,84000021,Kentucky,US,7329,0,0,0
2020-12-22,84070022,Long Term Care (LTC) Program,US,847,0,0,0
2020-12-22,84000022,Louisiana,US,0,0,0,0
2020-12-22,84000023,Maine,US,4489,0,0,0
2020-12-22,84000024,Maryland,US,4667,0,0,0
2020-12-22,84000025,Massachusetts,US,19078,0,0,0
2020-12-22,84000026,Michigan,US,5531,0,0,0
2020-12-22,84000027,Minnesota,US,3918,0,0,0
2020-12-22,84000028,Mississippi,US,2975,0,0,0
2020-12-22,84000029,Missouri,US,17707,0,0,0
2020-12-22,84000030,Montana,US,5866,0,0,0
2020-12-22,84000031,Nebraska,US,8375,0,0,0
2020-12-22,84000032,Nevada,US,8708,0,0,0
2020-12-22,84000033,New Hampshire,US,3860,0,0,0
2020-12-22,84000034,New Jersey,US,9173,0,0,0
2020-12-22,84000035,New Mexico,US,9294,0,0,0
2020-12-22,84000036,New York,US,37617,0,0,0
2020-12-22,84000037,North Carolina,US,13646,0,0,0
2020-12-22,84000038,North Dakota,US,5664,0,0,0
2020-12-22,580,Northern Mariana Islands,US,186,0,0,0
2020-12-22,84000039,Ohio,US,5930,0,0,0
2020-12-22,84000040,Oklahoma,US,16188,0,0,0
2020-12-22,84000041,Oregon,US,3042,0,0,0
2020-12-22,84000042,Pennsylvania,US,24855,0,0,0
2020-12-22,630,Puerto Rico,US,11247,0,0,0
2020-12-22,84000044,Rhode Island,US,3260,0,0,0
2020-12-22,84000045,South Carolina,US,20614,0,0,0
2020-12-22,84000046,South Dakota,US,7465,0,0,0
2020-12-22,84000047,Tennessee,US,9924,0,0,0
2020-12-22,84000048,Texas,US,161062,0,0,0
2020-12-22,84000049,Utah,US,5829,0,0,0
2020-12-22,84000050,Vermont,US,2156,0,0,0
2020-12-22,84070021,Veterans Health Administration,US,19614,0,0,0
2020-12-22,850,Virgin Islands,US,153,0,0,0
2020-12-22,84000051,Virginia,US,271,0,0,0
2020-12-22,84000053,Washington,US,12751,0,0,0
2020-12-22,84000054,West Virginia,US,16271,0,0,0
2020-12-22,84000055,Wisconsin,US,9759,0,0,0
2020-12-22,84000056,Wyoming,US,1555,0,0,0
2020-12-23,840,,US,991182,0,0,0
2020-12-23,84000001,Alabama,US,7383,0,0,0
2020-12-23,84000002,Alaska,US,5615,0,0,0
2020-12-23,16,American Samoa,US,139,0,0,0
2020-12-23,84000004,Arizona,US,7865,0,0,0
2020-12-23,84000005,Arkansas,US,9947,0,0,0
2020-12-23,84000006,California,US,92703,0,0,0
2020-12-23,84000008,Colorado,US,33946,0,0,0
2020-12-23,84000009,Connecticut,US,13037,0,0,0
2020-12-23,84000010,Delaware,US,2649,0,0,0
2020-12-23,84070024,Department of Defense,US,15991,0,0,0
2020-12-23,84000011,District of Columbia,US,3132,0,0,0
