State,COVID19 Data Type,State Source,Last Checked,M,T,W,R,F,Sa,Sun,Holidays,# reports/week
Georgia,Vaccines,https://experience.arcgis.com/experience/3d8eea39f5c1443db1743a4cb8948a9c,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Guam,Cases,http://dphss.guam.gov/covid-19/,8/24/21,Y,Y,Y,Y,Y,N,N,N,5
Guam,Deaths,http://dphss.guam.gov/covid-19/,8/24/21,Y,Y,Y,Y,Y,N,N,N,5
Guam,Tests,http://dphss.guam.gov/covid-19/,8/24/21,Y,Y,Y,Y,Y,N,N,N,5
Guam,Vaccines,http://dphss.guam.gov/covid-19/,8/24/21,Y,Y,Y,Y,Y,N,N,N,5
Hawaii,Cases,https://health.hawaii.gov/coronavirusdisease2019/current-situation-in-hawaii/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Hawaii,Deaths,https://health.hawaii.gov/coronavirusdisease2019/current-situation-in-hawaii/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Hawaii,Tests,https://health.hawaii.gov/coronavirusdisease2019/current-situation-in-hawaii/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Hawaii,Vaccines,https://health.hawaii.gov/coronavirusdisease2019/current-situation-in-hawaii/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Idaho,Cases,https://coronavirus.idaho.gov/,9/7/21,Y,Y,Y,Y,Y,Y,N,N,7
Idaho,Deaths,https://coronavirus.idaho.gov/,9/7/21,Y,Y,Y,Y,Y,Y,N,N,7
Idaho,Tests,https://coronavirus.idaho.gov/,9/7/21,Y,Y,Y,Y,Y,Y,N,N,7
Idaho,Vaccines,https://coronavirus.idaho.gov/,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Illinois,Cases,https://dph.illinois.gov/covid19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Illinois,Deaths,https://dph.illinois.gov/covid19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Illinois,Tests,https://dph.illinois.gov/covid19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Illinois,Vaccines,https://dph.illinois.gov/covid19/vaccinedata?county=Illinois,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Indiana,Cases,https://hub.mph.in.gov/dataset?q=COVID,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Indiana,Deaths,https://hub.mph.in.gov/dataset?q=COVID,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Indiana,Tests,https://hub.mph.in.gov/dataset?q=COVID,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Indiana,Vaccines,https://hub.mph.in.gov/dataset?q=COVID,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Iowa,Cases,https://coronavirus.iowa.gov/,7/12/21,N,N,Y,N,N,N,N,,1
Iowa,Deaths,https://coronavirus.iowa.gov/,7/12/21,N,N,Y,N,N,N,N,,1
Iowa,Tests,https://coronavirus.iowa.gov/,7/12/21,N,N,Y,N,N,N,N,,1
Iowa,Vaccines,https://coronavirus.iowa.gov/pages/vaccineinformation#VaccineInformation,7/12/21,N,N,Y,N,N,N,N,,1
Kansas,Cases,https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas,7/2/21,Y,N,Y,N,Y,N,N,,3
Kansas,Deaths,https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas,7/2/21,Y,N,Y,N,Y,N,N,,3
Kansas,Tests,https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas,7/2/21,Y,N,Y,N,Y,N,N,,3
Kansas,Vaccines,https://www.kansasvaccine.gov/158/Data,7/2/21,Y,N,Y,N,Y,N,N,,3
Kentucky,Cases,https://kygeonet.maps.arcgis.com/apps/dashboards/543ac64bc40445918cf8bc34dc40e334,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Kentucky,Deaths,https://kygeonet.maps.arcgis.com/apps/dashboards/543ac64bc40445918cf8bc34dc40e334,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Kentucky,Tests,https://kygeonet.maps.arcgis.com/apps/dashboards/543ac64bc40445918cf8bc34dc40e334,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Kentucky,Vaccines,https://dashboard.chfs.ky.gov/views/KYPublicFacingDashboard_16191000580170/KentuckyCOVID-19Vaccination?:iid=1&:isGuestRedirectFromVizportal=y&:embed=y,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Louisiana,Cases,https://ldh.la.gov/coronavirus/,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Louisiana,Deaths,https://ldh.la.gov/coronavirus/,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Louisiana,Tests,https://ldh.la.gov/coronavirus/,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Louisiana,Vaccines,https://ldh.la.gov/coronavirus/,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Maine,Cases,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus/data.shtml,7/2/21,N,Y,Y,Y,Y,Y,N,N,5
Maine,Deaths,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus/data.shtml,7/2/21,N,Y,Y,Y,Y,Y,N,N,5
Maine,Tests,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus/data.shtml,7/2/21,N,N,N,Y,N,N,N,N,1
Maine,Vaccines,https://www.maine.gov/covid19/vaccines/dashboard,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Maryland,Cases,https://coronavirus.maryland.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Maryland,Deaths,https://coronavirus.maryland.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Maryland,Tests,https://coronavirus.maryland.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Maryland,Vaccines,https://coronavirus.maryland.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Massachusetts,Cases,https://www.mass.gov/info-details/covid-19-response-reporting,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Massachusetts,Deaths,https://www.mass.gov/info-details/covid-19-response-reporting,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Massachusetts,Tests,https://www.mass.gov/info-details/covid-19-response-reporting,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Massachusetts,Vaccines,https://www.mass.gov/info-details/covid-19-response-reporting,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Michigan,Cases,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",8/9/21,Y,N,Y,N,Y,N,N,,3
Michigan,Deaths,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",8/9/21,N,Y,N,N,Y,N,N,,2
Michigan,Tests,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",8/9/21,Y,N,Y,N,Y,N,N,,3
Michigan,Vaccines,"https://www.michigan.gov/coronavirus/0,9753,7-406-98178_103214-547150--,00.html",7/27/21,Y,Y,Y,Y,Y,Y,Y,,7
Minnesota,Cases,https://www.health.state.mn.us/diseases/coronavirus/situation.html,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Minnesota,Deaths,https://www.health.state.mn.us/diseases/coronavirus/situation.html,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Minnesota,Tests,https://www.health.state.mn.us/diseases/coronavirus/situation.html,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Minnesota,Vaccines,https://mn.gov/covid19/vaccine/data/index.jsp,7/12/21,Y,Y,Y,Y,Y,N,N,,5
Mississippi,Cases,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#Mississippi",7/2/21,Y,Y,Y,Y,Y,N,N,,5
Mississippi,Deaths,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#Mississippi",7/2/21,Y,Y,Y,Y,Y,N,N,,5
Mississippi,Tests,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#Mississippi",7/2/21,N,N,N,N,N,N,Y,,1
Mississippi,Vaccines,https://msdh.ms.gov/msdhsite/_static/resources/12130.pdf,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Missouri,Cases,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/data/public-health/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Missouri,Deaths,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/data/public-health/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Missouri,Tests,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/data/public-health/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Missouri,Vaccines,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/data/public-health/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Montana,Cases,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Montana,Deaths,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Montana,Tests,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Montana,Vaccines,https://docs.msl.mt.gov/covid19/COVID_VAX_DashboardMetadata05242021.pdf,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Nebraska,Cases,https://dhhs.ne.gov/Pages/COVID-19-Weekly-Update.aspx,7/15/21,N,N,Y,N,N,N,N,,1
Nebraska,Deaths,https://dhhs.ne.gov/Pages/COVID-19-Weekly-Update.aspx,7/15/21,N,N,Y,N,N,N,N,,1
Nebraska,Tests,https://dhhs.ne.gov/Pages/COVID-19-Weekly-Update.aspx,7/15/21,N,N,Y,N,N,N,N,,1
Nebraska,Vaccines,https://dhhs.ne.gov/Pages/COVID-19-Weekly-Update.aspx,7/15/21,N,N,Y,N,N,N,N,,1
Nevada,Cases,https://nvhealthresponse.nv.gov/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Nevada,Deaths,https://nvhealthresponse.nv.gov/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Nevada,Tests,https://nvhealthresponse.nv.gov/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Nevada,Vaccines,https://nvhealthresponse.nv.gov/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
New Hampshire,Cases,https://www.covid19.nh.gov/dashboard,8/3/21,Y,Y,Y,Y,Y,N,N,,5
New Hampshire,Deaths,https://www.covid19.nh.gov/dashboard,8/3/21,Y,Y,Y,Y,Y,N,N,,5
New Hampshire,Tests,https://www.covid19.nh.gov/dashboard,8/3/21,Y,Y,Y,Y,Y,N,N,,5
New Hampshire,Vaccines,https://www.covid19.nh.gov/dashboard,8/3/21,Y,Y,Y,Y,Y,N,N,,5
New Jersey,Cases,https://covid19.nj.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New Jersey,Deaths,https://covid19.nj.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New Jersey,Tests,https://covid19.nj.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New Jersey,Vaccines,https://covid19.nj.gov/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New Mexico,Cases,https://cvprovider.nmhealth.org/public-dashboard.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
New Mexico,Deaths,https://cvprovider.nmhealth.org/public-dashboard.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
New Mexico,Tests,https://cvprovider.nmhealth.org/public-dashboard.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
New Mexico,Vaccines,https://cvvaccine.nmhealth.org/public-dashboard.html,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New York,Cases,https://health.data.ny.gov/Health/New-York-State-Statewide-COVID-19-Testing/xdss-u53e/data,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New York,Deaths,https://health.data.ny.gov/Health/New-York-State-Statewide-COVID-19-Testing/xdss-u53e/data,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New York,Tests,https://health.data.ny.gov/Health/New-York-State-Statewide-COVID-19-Testing/xdss-u53e/data,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
New York,Vaccines,https://covid19vaccine.health.ny.gov/covid-19-vaccine-tracker,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
North Carolina,Cases,https://covid19.ncdhhs.gov/dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
North Carolina,Deaths,https://covid19.ncdhhs.gov/dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
North Carolina,Tests,https://covid19.ncdhhs.gov/dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
North Carolina,Vaccines,https://covid19.ncdhhs.gov/dashboard/vaccinations,7/2/21,Y,Y,Y,Y,Y,N,N,,5
North Dakota,Cases,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
North Dakota,Deaths,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
North Dakota,Tests,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
North Dakota,Vaccines,https://www.health.nd.gov/covid19vaccine/dashboard,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Northern Mariana Islands,Cases,https://cnmichcc.maps.arcgis.com/apps/dashboards/4061b674fc964efe84f7774b7979d2b5,7/2/21,,,,,,,,,0
Northern Mariana Islands,Deaths,https://cnmichcc.maps.arcgis.com/apps/dashboards/4061b674fc964efe84f7774b7979d2b5,7/2/21,N,Y,N,N,N,N,Y,,2
Northern Mariana Islands,Tests,https://cnmichcc.maps.arcgis.com/apps/dashboards/4061b674fc964efe84f7774b7979d2b5,7/2/21,,,,,,,,,0
Northern Mariana Islands,Vaccines,https://cnmichcc.maps.arcgis.com/apps/dashboards/4061b674fc964efe84f7774b7979d2b5,7/2/21,,,,,,,,,0
Ohio,Cases,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Ohio,Deaths,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Ohio,Tests,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Ohio,Vaccines,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/covid-19-vaccine/covid-19-vaccination-dashboard,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Oklahoma,Cases,https://oklahoma.gov/covid19.html,8/9/21,Y,Y,Y,Y,Y,N,N,,5
Oklahoma,Deaths,https://oklahoma.gov/covid19.html,8/9/21,N,N,Y,N,N,N,N,,1
Oklahoma,Tests,https://oklahoma.gov/covid19.html,8/9/21,N,N,N,Y,N,N,N,,1
Oklahoma,Vaccines,https://oklahoma.gov/covid19.html,8/9/21,N,N,N,Y,N,N,N,,1
Oregon,Cases,https://public.tableau.com/app/profile/oregon.health.authority.covid.19/viz/OregonCOVID-19Update/DailyDataUpdate,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Oregon,Deaths,https://public.tableau.com/app/profile/oregon.health.authority.covid.19/viz/OregonCOVID-19Update/DailyDataUpdate,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Oregon,Tests,https://public.tableau.com/app/profile/oregon.health.authority.covid.19/viz/OregonCOVID-19Update/DailyDataUpdate,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Oregon,Vaccines,https://public.tableau.com/app/profile/oregon.health.authority.covid.19/viz/OregonCOVID-19VaccinationTrends/OregonStatewideVaccinationTrends,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Pennsylvania,Cases,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Pennsylvania,Deaths,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Pennsylvania,Tests,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Pennsylvania,Vaccines,https://www.health.pa.gov/topics/disease/coronavirus/Vaccine/Pages/Dashboard.aspx,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Puerto Rico,Cases,https://covid19datos.salud.gov.pr/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Puerto Rico,Deaths,https://covid19datos.salud.gov.pr/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Puerto Rico,Tests,https://covid19datos.salud.gov.pr/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Puerto Rico,Vaccines,https://covid19datos.salud.gov.pr/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Rhode Island,Cases,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Rhode Island,Deaths,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Rhode Island,Tests,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Rhode Island,Vaccines,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
South Carolina,Cases,https://scdhec.gov/covid19/sc-testing-data-projections-covid-19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
South Carolina,Deaths,https://scdhec.gov/covid19/sc-testing-data-projections-covid-19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
South Carolina,Tests,https://scdhec.gov/covid19/sc-testing-data-projections-covid-19,7/2/21,Y,Y,Y,Y,Y,N,N,,5
South Carolina,Vaccines,https://scdhec.gov/covid19/covid-19-vaccination-dashboard,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
South Dakota,Cases,https://doh.sd.gov/COVID/Dashboard.aspx,8/13/21,Y,Y,Y,Y,Y,N,N,,5
South Dakota,Deaths,https://doh.sd.gov/COVID/Dashboard.aspx,8/13/21,Y,Y,Y,Y,Y,N,N,,5
South Dakota,Tests,https://doh.sd.gov/COVID/Dashboard.aspx,8/13/21,Y,Y,Y,Y,Y,N,N,,5
South Dakota,Vaccines,https://doh.sd.gov/COVID/Dashboard.aspx,8/13/21,Y,Y,Y,Y,Y,N,N,,5
Tennessee,Cases,https://www.tn.gov/health/cedep/ncov.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Tennessee,Deaths,https://www.tn.gov/health/cedep/ncov.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Tennessee,Tests,https://www.tn.gov/health/cedep/ncov.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Tennessee,Vaccines,https://www.tn.gov/health/cedep/ncov/covid-19-vaccine-information.html,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Texas,Cases,https://dshs.texas.gov/coronavirus/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Texas,Deaths,https://dshs.texas.gov/coronavirus/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Texas,Tests,https://dshs.texas.gov/coronavirus/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Texas,Vaccines,https://tabexternal.dshs.texas.gov/t/THD/views/COVID-19VaccineinTexasDashboard/Summary?:origin=card_share_link&:embed=y&:isGuestRedirectFromVizportal=y,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Utah,Cases,https://coronavirus.utah.gov/case-counts/,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Utah,Deaths,https://coronavirus.utah.gov/case-counts/,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Utah,Tests,https://coronavirus.utah.gov/case-counts/,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Utah,Vaccines,https://coronavirus.utah.gov/case-counts/,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Vermont,Cases,https://www.healthvermont.gov/covid-19/current-activity/vermont-dashboard,8/24/21,Y,Y,Y,Y,Y,Y,Y,N,7
Vermont,Deaths,https://www.healthvermont.gov/covid-19/current-activity/vermont-dashboard,8/24/21,Y,Y,Y,Y,Y,Y,Y,N,7
Vermont,Tests,https://www.healthvermont.gov/covid-19/current-activity/vermont-dashboard,8/24/21,Y,Y,Y,Y,Y,Y,Y,N,7
Vermont,Vaccines,https://www.healthvermont.gov/covid-19/vaccine/covid-19-vaccine-dashboard,8/24/21,N,Y,Y,Y,Y,N,N,N,4
Virgin Islands,Cases,https://www.covid19usvi.com/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Virgin Islands,Deaths,https://www.covid19usvi.com/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Virgin Islands,Tests,https://www.covid19usvi.com/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Virgin Islands,Vaccines,https://www.covid19usvi.com/,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Virginia,Cases,https://www.vdh.virginia.gov/coronavirus/,7/19/21,Y,Y,Y,Y,Y,N,N,,5
