State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other,Notes
Idaho,2020-04-24," The Governor announced a new public-private task force to create a COVID-19 testing strategy for the State of Idaho moving forward. Their immediate focus includes: Safe and efficient screening and testing sites for symptomatic individuals, including those with mild symptoms; Screening and testing locations in all regions of the state, including places that serve older individuals, rural and lower income populations, and racial and ethnic minorities; Robust COVID-19 testing programs for at-risk healthcare workers",,,,,,,,,,,
Idaho,2020-04-24, The Governor issued two new proclamations: Extending the disaster emergency and extreme emergency declarations; Waiving further regulations to improve and maintain access to care,,,,,,,,,,,
Idaho,2020-04-30," The Governor announced plans for more than 30,000 small businesses to receive Idaho Rebound cash grants, a $300 million investment in Idaho’s small business employers.",,,,,,,,,,,
Idaho,2020-04-30, The Governor announced that the state will move forward with the first stage of its plan to reopen businesses. Nearly all retail stores and houses of worship will open in the first stage.,,,,,,,,,,,
Idaho,2020-05-01, The Governor announced a new Idaho Child Care Emergency Grant to provide childcare business owners with the financial resources to reopen and continue operating during the COVID-19 pandemic.,,,,,,,,,,,
Idaho,2020-05-04, The Governor announced the full eligibility criteria and process for small businesses to apply for an Idaho Rebound cash grant.,,,,,,,,,,,
Idaho,2020-05-06, The Governor announced that Battelle will decontaminate N95 masks at no cost.,,,,,,,,,,,
Idaho,2020-05-07, The Governor made protocols available for indoor gym and recreational facilities managers to implement in order to open in stage 2 of the Idaho Rebounds plan.,,,,,,,,,,,
Idaho,2020-05-08," The Governor stated that salons, bars, and other retail business that violate the phased reopening plan are at risk of losing their operating license for those violations.",,,,,,,,,,,
Idaho,2020-05-12, The Governor stated that he decides the standard for when bars and restaurants may reopen in various cities in the state.,,,,,,,,,,,
Idaho,2020-05-14," The Governor approved the states movement to Stage Two of reopening Idaho as scheduled on Saturday, May 16.",,,,,,,,,,,
Idaho,2020-05-14," The Governor announced that small businesses have a new resource to access masks, gloves, and sanitizer as the state enters Stage 2 of the four-stage Idaho Rebounds plan to safely and responsibly open Idaho’s economy. Idaho small businesses can obtain a 30-day supply of personal protective equipment (PPE) for their employees and patrons at supplies.idaho.gov.",,,,,,,,,,,
Idaho,2020-05-18, The Governor’s Coronavirus Financial Advisory Committee approved the eligibility expansion for cash grants to the self-employed.,,,,,,,,,,,
Idaho,2020-05-18, The Governor announced that protocols are now available for bars/breweries/wineries/distilleries and outdoor pools/splashpads/waterparks to open in Stage 3 of the Idaho Rebounds plan.,,,,,,,,,,,
Idaho,2020-05-21, The Governor announced that the State of Idaho will not borrow money in the bond market to meet anticipated cash flow requirements for the current fiscal year.,,,,,,,,,,,
Idaho,2020-05-22," The Governor announced that the Testing Task Force assembled one month ago has completed its recommendations. They include: Who should be tested and how often; Investment in local testing capacity must be significantly increased; Expansion of molecular diagnostic testing now, which in combination with proven public health practices such as tracing, physical distancing, enhanced sanitation, hand hygiene, and instructing ill people to stay home to protect others, will help stop the spread of COVID-19; A limited use of serologic (antibody) testing, which detects human antibodies to the virus.",,,,,,,,,,,
Idaho,2020-05-27, The Idaho Department of Labor has released data that shows that continued claims are down 8% from the previous week it measured but that unemployment remains at 11.5%.,,,,,,,,,,,
Idaho,2020-05-27," The Governor announced state and local public health experts have created a new guidance document to assist with decisions about gatherings during the COVID-19 pandemic, the guidance is known as the Interim Guidance for Safe Gatherings and Public Events in Idaho.",,,,,,,,,,,
Idaho,2020-05-28," The Governor announced that after consultation with movie theater operators and public health officials, he decided to move up the opening of movie theaters by two weeks -  from Stage 4 to Stage 3 -  as long as protocols are followed.",,,,,,,,,,,
