State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Louisiana,22-Apr-20,"The Governor announced two co-chairs and appointed members to the Louisiana COVID-19 Health Equity Task Force and several subcommittees. The chairs are: Dr. Sandra C. Brown, Dean of Southern University’s College of Nursing and Allied Health; Dr. Thomas LaVeist, Dean of Tulane University’s School of Public Health and Tropical Medicine.",,,,,,,,,,,Y,
Louisiana,27-Apr-20,The Governor announced that he will extend the stay-at-home order until May 15. ,Y,,,,,,,,,,,
Louisiana,29-Apr-20,"The Governor will be traveling to Washington, D.C. to meet with President Trump to discuss the states’ response to COVID-19. ",,,,,,,,,,,Y,
Louisiana,1-May-20,The Governor released two new PSAs encouraging Louisianans to comply with the extended Stay at Home Order to slow the spread of Covid-19 and ultimately meet the White House guidelines for entering Phase One.,Y,,,,,,,,,,,
Louisiana,4-May-20,"The Governor has activated a new, web-based program to assist businesses and religious organizations with safely resuming operations as the public health emergency due to COVID-19 continues.",,,,,,,,,,,Y,
Louisiana,5-May-20,"The Governor announced  that the State has committed $10,382,000 in community development block grant (CDBG) funds to the City of New Orleans to support nine affordable rental housing projects that were in danger of losing their funding as a result of the response to the COVID-19 outbreak.",,,,,,,,,,,Y,
Louisiana,8-May-20,The Governor and the Louisiana Department of Health outlined a plan for COVID-19 testing and tracking that would hire as many as 700 Louisianans to serve as contact tracers. ,,,,Y,,,,,,,Y,
Louisiana,11-May-20,"The Governor will move to Phase One under the White House COVID-19 guidance Friday, May 15, which removes the Stay at Home order for Louisianans and allows additional businesses to open under strict occupancy, protection and social distancing guidelines.",,Y,,,,,,,,,,
Louisiana,11-May-20,"The Centers for Medicare and Medicaid Services (CMS) approved Louisiana’s second request for a Medicaid 1135 waiver. The waiver allows Louisiana to lift prior authorization requirements, waive consent requirements for Home and Community-Based Services (HCBS), to modify timelines for levels of care determinations, and to reimburse for personal care provided by legally responsible individuals, including family caregivers",,,,,,,,,,,Y,
Louisiana,14-May-20,"The Governor formally declared that Louisiana will enter into Phase One of its Roadmap to a Resilient Louisiana on Friday, May 15, when the Stay at Home order will be lifted and more businesses will be allowed to open with strict social distancing, enhanced sanitation and required masks for employees helping the public.",,Y,,,,,,,,,,
Louisiana,15-May-20,A U.S. District Judge of the Middle District of Louisiana denied Rev. Tony Spell’s motion for a Temporary Restraining Order against Gov. John Bel Edwards’ Stay at Home order.,,,,,,,,,,,Y,
Louisiana,1-Jun-20,The Governor announced that the state is ready to move to Phase 2 of the White House’s reopening strategy on June 5.,,Y,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
