State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes,,,
Alaska,10-Apr-20," The Governor announced the COVID-19 Disaster Order of Suspension No. 2 Appendix A - Amendment 2 suspending certain fees, regulations, and statutes through May 11, 2020 unless otherwise noted.",,,,,,,,,,,Y,,,,
Alaska,13-Apr-20," The Governor issued the Health Mandate 014 on Non-Congregate Sheltering (NCS) allowing eligible emergency protective measures at the direction of state public health officials to be reimbursed, including costs for NCS for both state and local jurisdictions to protect vulnerable populations.",,,,,,,,,,,Y,,,,
Alaska,15-Apr-20," The Governor issued Health Mandate 015 on Services by Health Care Providers allowing health care facilities and providers to resume services that require minimal protective equipment and safety protocols on April 20, 2020. Beginning May 4, 2020, health care providers may perform non-urgent, or elective procedures, with defined safety protocols for patients and staff.",,Y,,,,Y,,,,,,,,,
Alaska,21-Apr-20," The Governor unveiled Phase One of the state’s approach to reopening segments of the Alaskan economy. Beginning Friday, April 24, 2020, the following businesses and industries may reopen, following rigorous health and safety standards: Restaurants – limited dine-in services; Retail Stores – limited in-store shopping; Personal Services Businesses (ie. barbers, nail salons, hairdressers) – limited services; Non-Essential Businesses (ie. professional business services) – limited services",,Y,,,,,,,,,,,,,
Alaska,21-Apr-20," The Governor announced the extension of the following COVID-19 Health Mandates: Health Mandate 10, International and Interstate Travel – extended until May 19 (evaluated weekly); Health Mandate 11, Social Distancing – extended until rescinded; and Health Mandate 12, Intrastate Travel – extended until rescinded",,,,,,,,,,Y,Y,,,,
Alaska,22-Apr-20," The Governor issued the State of Alaska’s 16th COVID-19 Health Mandate, the first in a series to responsibly reopen Alaska.",,Y,,,,,,,,,,,,,
Alaska,23-Apr-20," The Governor issued the State of Alaska’s 17th Health Mandate establishing standardized protective measures to be followed by all independent commercial fishing vessels operating within Alaskan waters and ports to ensure a safe, productive fishing season while protecting communities from the spread of COVID-19.",,Y,,,,,,,,,,,,,
Alaska,24-Apr-20," The Governor issued further guidance on the State of Alaska’s 16th COVID-19 Health Mandate, Phase I of the Reopen Alaska Responsibly Plan on social distancing, intrastate travel, social gatherings, and religious gatherings.",,Y,,,,,,,,,,,,,
Alaska,1-May-20," The Governor submitted a revised plan for the equitable distribution of the Federal Coronavirus Aid, Relief, and Economic Security (CARES) Act funding, which brings over $1.5 billion of relief to the State, to the State Legislative Budget and Audit Committee.",,,,,,,,,Y,,,,,,
Alaska,7-May-20," The Governor announced Phase 2 of the #ReopenAlaskaResponsibly Plan allowing restaurants, retail, non-essential business, bars, social and religious gatherings, indoor gyms, bowling alleys, theaters, and bingo to increase capacity while respecting social distancing.",,,,,,,,,,,Y,,,,
Alaska,11-May-20," A committee of the Alaska Legislature approved the Governor’s plan to spend $568.5 million to cities and boroughs, as much as $100 million for fishermen and fishing businesses of federal funding, and $289.3 million for small businesses that have not received aid from existing federal programs.",,,,,,,,,Y,,,,,,
Alaska,12-May-20, The  Governor directed the Department of Health and Social Services to work in coordination with federal partners to disperse funding to the Child Care Program Office (CCPO) in order to meet the need of childcare providers statewide.,,,,,,,,,,,Y,,,,
Alaska,12-May-20, The Governor issued the State of Alaska’s 18th COVID-19 Health permitting travel between communities on the road system and in-state travel by the Alaska Marine Highway System.,,Y,,,,,,Y,,,,,,,
Alaska,15-May-20," The Governor issued updates to the State of Alaska’s 10th and 17th COVID-19 Health Mandates. Health Mandate 10 on International and Interstate Travel, Order for Self-Quarantine, has been extended from May 19, 2020, to June 2, 2020. Additional guidance was issued on Enhanced Protective Measures for Seafood Processing Workers. Additional guidance regarding Commercial Fishing has been issued for COVID-19 Health Mandate 17 on Protective Measures for Independent Commercial Fishing Vessels.",,,,,,Y,,,,,Y,,,,
Alaska,19-May-20, The Governor announced plans for Phase Three of the state’s approach to reopening segments of the Alaskan economy in an effort to balance the ongoing need to slow the spread of COVID-19 with the critical need to resume economic activity in a reasonable and safe manner.,,,,,,,,,,,Y,,,,
Alaska,20-May-20," The Governor announced the Permanent Fund Dividend Division will begin distribution of the 2020 Permanent Fund Dividend (PFD) to eligible Alaskans on July 1, 2020 given the hard economic times.",,,,,,,,,,,Y,,,,
Alaska,20-May-20," The Governor announced on Friday, May 22 businesses & entities across the state may fully reopen.",,Y,,,,,,,,,,,,,
Alaska,3-Jun-20, The Governor issued updated guidance on COVID-19 Health Mandate 10 on Interstate and International Travel.,,,,,,,,,,,Y,,,,
