State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Georgia,20-Apr-20," The Governor signed an executive order granting certain businesses permission to reopen later in the week. The designated businesses include  barbershops, gyms, and other close contact businesses.",,Y,,,,,,,,,,
Georgia,21-Apr-20," The Governor and the Georgia State Board of Cosmetology and Barbers issued guidance for the safe reopening of Georgia’s salons and spas. The guidance includes: Temperature checks, Screening questions of customers, Limits to the amount of people in each shop at one time, Social distancing, Use of PPE, Disinfection",,,,,,,,,,,Y,
Georgia,22-Apr-20, The Georgia Department of Labor announced options that unemployed individuals and small businesses may use as the state incrementally reopens. ,,,,,,,,,,,Y,
Georgia,24-Apr-20, The Governor announced that Walgreens will open a drive-thru rapid COVID-19 testing site at a location in Alpharetta that will be able to conduct 150 tests a day.,,,,,,,,,,,Y,
Georgia,26-Apr-20, The Governor announced the launch of a mobile COVID-19 testing initiative to set up drive-thru sites in communities without access to testing.,,,,,,,,,,,Y,
Georgia,28-Apr-20," The Governor announced that the state had administered nearly 13,000 new test in a single day, recording the largest single day in new tests reported.",,,,,,,,,,,Y,
Georgia,28-Apr-20," The Governor stated that he has not made a decision regarding the shelter-in-place order to expire on Thursday, April 30th.",,,,,,,,,,,Y,
Georgia,28-Apr-20," The Governor signed  an executive order further outlining specific protective measures food service, entertainment, and other entities must maintain during their reopening, some of this includes: Inspection timelines of restaurants, Further defining food establishments, Regulating indoor seating of movie theaters",,,,,,,,,,,Y,
Georgia,29-Apr-20," The Governor announced that ninety-five facilities have signed up to use the free Battelle Critical Care Decontamination System (CCDS), a self-contained device that uses concentrated hydrogen peroxide to decontaminate N95 masks.",,,,,,,,,,,Y,
Georgia,30-Apr-20," The Governor signed an executive order requiring business to operate with social distancing measures through May 31st. Additionally, the executive order requires medically fragile and elderly individuals to shelter in place until June 12th. ",,Y,,,,,,,,,,
Georgia,30-Apr-20, The Governor announced that he is suspending the road test requirement for acquiring a driver’s license.,,,,,,,,,,,Y,
Georgia,1-May-20, The Governor urged all Georgians to continue to follow safe daily habits to reduce our risk of exposure and to continue to wear masks in public.,,,,,,,,,,Y,Y,
Georgia,1-May-20," The Governor’s Coronavirus Task Force Community Outreach Committee partnered with Georgia Department of Public Health and the DeKalb County Board of Public Health to establish free testing at a pop-up site at the House of Hope in Decatur for May 4, 2020.",,,,,,,,,,,Y,
Georgia,5-May-20," The Governor and the Georgia Department of Public Health announced there are currently sixty-six active COVID-19 specimen collection sites across Georgia. The state added nineteen sites in the past eleven days, including one-day-only sites.",,,,,,,,,,,Y,
Georgia,5-May-20,"The Governor announced the largest shipment of personal protective equipment to date has been distributed by the Georgia Emergency Management and Homeland Security Agency (GEMA/HS) in cooperation with the Georgia Department of Public Health (DPH). Altogether, GEMA/HS shipped 38,420 face shields, 423,000 gloves, 432,150 surgical masks, and 81,120 coveralls to frontline healthcare workers.",,,,,,,,,,,Y,
Georgia,8-May-20, The Governor called for all individuals who have symptoms to get tested.,,,,,,,,,,,Y,
Georgia,8-May-20, The Governor announced that Peach Bowl Inc. will be partnering with the governor’s office to provide funding that will help make COVID-19 screenings available statewide.,,,,,,,,,,,Y,
Georgia,8-May-20, The Governor signed an executive order suspending the mandatory 30-day renewal period requirement for firearms owners to renew their licenses due to the extension of the public health emergency.,,,,,,,,,,,Y,
Georgia,11-May-20, The Governor reported the lowest number of ventilators in use and COVID-19 positive patients hospitalized in Georgia since hospitals began submitting data to the Georgia Emergency Management and Homeland Security Agency (GEMA) on April 8.,,,,,,,,,,,Y,
Georgia,12-May-20," The Governor signed an executive order requiring bars, nightclubs and live performance venues to remain shuttered through the end of May and relaxed capacity limits on restaurants that resume dine-in service, increasing the maximum table size from six patrons to 10. The order also doubled the number of children allowed in a single classroom at a child care facility from 10 to 20. Finally, the executive order allowed summer camps to resume to resume if they follow 32 regulations.",Y,Y,,,,,,,,,,
Georgia,13-May-20," The Centers for Medicare and Medicaid Services (CMS) approved Georgia’s second request for a Medicaid 1135 waiver. The waiver allows Georgia to reimburse for personal care provided by legally responsible individuals, including family caregivers",,,,,,,,,,,Y,
Georgia,14-May-20," The Governor announced the launch of Augusta University’s COVID-19 telemedicine app and that Augusta University received a $400,000 donation from SK innovation to support Augusta University and Augusta University Health’s response and associated expenses pertaining to the COVID-19 pandemic.",,,,,,,,,,,Y,
Georgia,14-May-20, The Governor announced that the Technical College System of Georgia’s (TCSG) Office of Workforce Development was awarded a 12 Million Dislocated Worker Grant by the U.S. Department of Labor.,,,,,,,,,,,Y,
Georgia,15-May-20," The Governor announced that 301,874 COVID-19 tests have been completed and reported to the Georgia Department of Public Health (DPH).",,,,,,,,,,,Y,
Georgia,18-May-20, The Governor announced a list and interactive map of Georgia companies that have signed up to help businesses obtain personal protective equipment and health care supplies to fight COVID-19.,,,,,,,,,,,Y,
Georgia,18-May-20, The Governor announced that Georgia now ranks twenty-first out of fifty-four states and territories on the current percentage of total population tested.,,,,,,,,,,,Y,
Georgia,19-May-20, The Governor announced that Georgia reached its lowest number of COVID-19 positive patients hospitalized since hospitals started reporting data to the Georgia Emergency Management and Homeland Security Agency (GEMA/HS) on April 8.,,,,,,,,,,,Y,
Georgia,22-May-20, The Governor announced a filming “best practices” guide for Georgia that offers guidance for Georgia’s film and television industries to help reduce the spread of COVID-19 when productions resume in Georgia. The recommendations were developed in close cooperation with officials from studio and production companies who maintain a presence in Georgia.,,,,,,,,,,,Y,
Georgia,26-May-20, The Governor announced that to date Georgia has received over 2.5 billion in COVID-19 related support from federal partners.,,,,,,,,,,,Y,
Georgia,26-May-20," The Governor announced that Georgia Emergency Management has sent 5,013 test kits to nursing homes throughout the state.",,,,,,,,,,,Y,
