State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Illinois,22-Mar-20, The Governor called for healthy individuals to assist with the state’s efforts during the crisis by going to serve.illinois.gov to be matched with service organizations to support the response effort.,,,,,,,,,,,Y,
Illinois,23-Mar-20," The Illinois Department of Financial and Professional Regulation issued a proclamation to allow out-of-state physicians, nurses, physician assistants, and respiratory care therapists to provide care to Illinois residents.",,,,,,,,,,,Y,
Illinois,23-Mar-20," The Centers for Medicare & Medicaid Services (CMS) approved Illinois’s request for a Section 1135 Medicaid waiver. The approved waiver enables Illinois to provide flexibilities in Medicaid provider screening and enrollment, forgo certain preadmission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,,,,,,Y,
Illinois,24-Mar-20," The Governor signed an executive order suspending healthcare worker background checks for individuals who are certified as a nurse assistant, but are currently inactive on the Health Care Worker Registry, may be hired under certain provisions.",,,,,,,,,,,Y,
Illinois,25-Mar-20," Under the leadership of the Governor, the Department of Commerce and Economic Opportunity launched emergency small business assistance initiatives including the: Hospitality Emergency Grant Program to support hospitality businesses during COVID-19. Illinois Small Business Emergency Loan Fund to offer small businesses low interest loans of up to $50,000. Downstate Small Business Stabilization Program to support small businesses in downstate/rural counties in Illinois repurposing $20 million in Community Development Block Grant funds for small businesses of up to 50 employees to partner with local governments to obtain grants of $25,000.  ",,,,,,,,,,,Y,
Illinois,26-Mar-20, The Governor announced a partnership with United Way of Illinois and Alliance of Illinois Community Foundations to launch the Illinois COVID-19 Response Fund to support nonprofit organizations who are serving those who lives have been upended by this pandemic.,,,,,,,,,,,Y,
Illinois,27-Mar-20," The Governor signed an executive order relaxing the approval process schools would need to adjust their school term, suspending the method of the calculation for pupil school attendance, granting the Illinois State Board of Education the ability to define “Remote Learning Days”, allowing schools that receive grant funds around early-childhood education to provide childcare services to essential employees, and other provisions.",,,,,,,,,,,Y,
Illinois,28-Mar-20, The Governor suspended the repossession of vehicles and in-person training for private security personnel during the ongoing COVID-19 outbreak.,,,,,,,,,,,Y,
Illinois,29-Mar-20," The Governor signed an executive order extending the deadline for various cannabis grower, transporter, and infuser licenses due to the impacts of COVID-19. ",,,,,,,,,,,Y,
Illinois,30-Mar-20," The Governor announced plans for 3,000-bed alternate care setting at McCormick Place to treat COVID-19 patients with mild symptoms.",,,,,,,,,,,Y,
Illinois,30-Mar-20," The Governor announced a series of actions in the area of consumer borrowing, servicing, and collections. The governor also provided guidance to its regulated entities, state banks, credit unions, installment lenders, payday lenders, title loan lenders, sales finance lenders including auto loans, currency exchanges, student loan servicers, mortgage servicers, and collection agencies concerning their lending, servicing, and collection during the COVID-19 pandemic.",,,,,,,,,,,Y,
Illinois,1-Apr-20, The Governor signed a proclamation extending the stay-at-home order in the state to April 30th.,Y,,,,,,,,,,,
Illinois,3-Apr-20, The Governor recommended that individuals wear masks for the duration of the pandemic.,,,,,,,,,,Y,,
Illinois,5-Apr-20, The Governor announced the expansion of emergency childcare and additional financial support for emergency childcare centers. ,,,,,,,,,,,Y,
Illinois,8-Apr-20, The Governor expanded how real-time electronic technologies may be utilized. Remote notarization can be used for the duration of governor’s stay at home order.,,,,,,,,,,,Y,
Illinois,9-Apr-20," The Governor signed executive order 23 that allows the Secretary of the Department of Financial & Professional Regulation to take certain actions to increase the number of licensed professionals responding to the disaster, and ensure that any impacted licensed professionals are aiding in the response to the disaster.",,,,,,,,,,,Y,
Illinois,14-Apr-20, The Illinois Emergency Management Agency (IEMA) and the Illinois Department of Public Health launched a new public service campaign to remind Illinois residents to continue to follow the Stay at Home order enacted by the governor’s executive order.,Y,,,,,,,,,,,
Illinois,16-Apr-20," The Governor has joined a partnership with 6 other states in the region (Michigan, Ohio, Wisconsin, Minnesota, Indiana, and Kentucky) to develop a plan for reopening the region economy.",,Y,,,,,,,,,,
Illinois,17-Apr-20, The Governor announced that all Illinois schools will remain closed for the remainder of the school year.,Y,,,,,,,,,,,
Illinois,22-Apr-20," The Governor announced that given that new modeling data suggests the state’s peak may be mid-May, there will likely be changes to the state’s stay-at-home orders.",,,,,,,,,,,Y,
Illinois,23-Apr-20," The Governor announced that he would sign a modified version of the state’s stay-at-home order that will go into effect May 1. The order will strengthen the state’s social distancing requirements while allowing residents additional flexibility and provide measured relief to non-essential businesses. Its provisions include: State parks will begin a phased re-opening under guidance from the Department of Natural Resources. Greenhouses, garden centers and nurseries may re-open as essential businesses. Retail stores not designated as non-essential businesses and operations may re-open to fulfill telephone and online orders through pick-up outside the store and delivery. Individuals will be required to wear a face-covering or a mask when in public places where they are unable to maintain six-feet of social distanciEssential businesses and manufacturers will be required to provide face-coverings to all employees who are not able to maintain six-feet of social distancing. Essential businesses and manufacturers will be required to provide face-coverings to all employees who are not able to maintain six-feet of social distancing. Educational institutions may allow and establish procedures for pick-up of necessary supplies or student belongings.",,Y,,,,,,,,,,
Illinois,27-Apr-20, The Governor announced that the Attorney General will appeal a judge’s recent ruling that the governor does not have the authority to extend his stay-at-home executive order beyond 30 days.,,,,,,,,,,,Y,
Illinois,1-May-20," The Governor proposed an $80 million program to hire nearly 4,000 state workers to track anyone who came into contact with people who test positive for COVID-19.",,,,,,,,,,,Y,
Illinois,1-May-20, The Illinois Department of Professional and Financial Regulation (IDFPR) announced new options for unbanked Illinoisans seeking to cash their stimulus checks without incurring check cashing fees.,,,,,,,,,,,Y,
Illinois,2-May-20, The Governor announced increasing COVID-19 testing capabilities in the State of Illinois continues to be an operational priority during the state’s response to this ongoing pandemic. The state is announcing a new drive-thru COVID-19 testing facility will be open to the public in the coming days.,,,,,,,,,,,Y,
Illinois,3-May-20, A U.S. district judge issued a ruling upholding the Governor’s stay-at-home order for Illinois as constitutional.,,,,,,,,,,,Y,
Illinois,5-May-20, The Governor announced a five-part tentative plan for reopening businesses and institutions in the state.,,Y,,,,,,,,,,
Illinois,6-May-20," The Governor highlighted significant efforts taken to mitigate the spread of COVID-19 in vulnerable Latino communities, focusing on: Testing site availability and medical access; Housing Support; Using Illinois Welcome Centers as a hub for free resources; Worker’s Rights",,,,,,,,,,,Y,
Illinois,11-May-20,"The Governor and several employees in his office will self-quarantine for an “appropriate isolation period” after a staffer tested positive for COVID-19, the disease caused by the novel coronavirus.",,,,,,,,,,,,
Illinois,11-May-20, The Governor stated that the peak for Illinois will no longer be in mid-June but has been pushed back by a month.,,,,,,,,,,,Y,
Illinois,12-May-20, The Governor and the Department of Healthcare and Family Services (HFS) announced that they will be providing $75 million to hospitals to continue the fight against COVID-19.,,,,,,,,,,,Y,
Illinois,12-May-20," The Governor and the Illinois Department of Commerce and Economic Opportunity (DCEO) today announced Fast-Track Public Infrastructure Grants, an initiative to accelerate work on planned public infrastructure projects around the state.  The State is expediting $25 million of existing Rebuild Illinois funding to local public infrastructure projects that are ready to begin work this summer.",,,,,,,,,,,Y,
Illinois,13-May-20, The Illinois Department of Veterans’ Affairs announced that all state veteran’s home residents and employees have received COVID-19 testing.,,,,,,,,,,,Y,
Illinois,14-May-20," The Governor, the Illinois Department of Commerce and Economic Opportunity (DCEO), and the Illinois Department of Employment Services (IDES) launched Get Hired Illinois -  a new portal designed to connect workers with available job and career training opportunities across the state of Illinois.",,,,,,,,,,,Y,
Illinois,15-May-20," The Governor stated that the state is focused on expanding tests performed each day, stating that the expansion of testing is critical to reopening the economy in Illinois.",,,,,,,,,,,Y,
Illinois,15-May-20, The Illinois Board of Higher Education (IBHE) has convened a committee to shape guidance on how campuses across the state can open safely in the fall semester.,,,,,,,,,,,Y,
Illinois,18-May-20," The Governor filed an emergency rule making it a class A misdemeanor for owners of restaurants, bars and other establishments in Illinois to open too soon.",,,,,,,,,,,Y,
Illinois,20-May-20, The Governor announced that he was withdrawing his rule that charges business owners with a misdemeanor if they disregard regulations amid COVID-19.,,,,,,,,,,,Y,
Illinois,21-May-20," The Illinois Department of Employment Security (IDES) announced that the unemployment rate jumped 12.2 percentage points to 16.4 percent,  as the COVID-19 pandemic continued to impact Illinois businesses and households, based on preliminary data provided by the U.S. Bureau of Labor Statistics and released by IDES.",,,,,,,,,,,Y,
Illinois,22-May-20, The Governor and the Illinois Department of Human Services (IDHS) announced the state’s plan to enable 1.8 million SNAP recipients to purchase food from participating grocery retailers online has been approved by the federal government.,,,,,,,,,,,Y,
Illinois,24-May-20," The Governor has released guidelines for businesses and workplaces to reopen in the state after the stay-at-home executive order set to expire on May 29, paving the way for an estimated 700,000 Illinoisans to return to work. The guidelines came with a set of industry-specific toolkits.",,Y,,,,,,,,,,
Illinois,27-May-20," The Governor announced that the statewide positivity rate for COVID-19 has now averaged 9.2% for the past 7 days, COVID hospitalizations are at a 6 week low, and  hospital bed and ICU bed availability is above 30%.",,,,,,,,,,,Y,
Illinois,27-May-20, The Illinois Department of Commerce and Economic Opportunity (DCEO) announced a new $7.3 million investment from the U.S. Small Business Administration (SBA) for the Illinois Small Business Development Center (SBDC) program ,,,,,,,,,,,Y,
Illinois,28-May-20, The Governor has lifted the ban related to worship services.,,Y,,,,,,,,,,
Illinois,29-May-20, The Illinois Department on Aging (IDoA) and Illinois Department of Human Services (IDHS) received $1.7 million from the federal Administration for Community Living to provide services to older adults and persons with disabilities who are disproportionally affected by the ongoing COVID-19 pandemic.,,,,,,,,,,,Y,
